barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	13793	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode02	barcode02	test_sample	10460	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode03	barcode03	test_sample	12572	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode04	barcode04	test_sample	12359	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode05	barcode05	test_sample	4313	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode06	barcode06	test_sample	7988	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode07	barcode07	test_sample	3875	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode08	barcode08	test_sample	9263	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode09	barcode09	test_sample	5447	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode10	barcode10	test_sample	7843	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode11	barcode11	test_sample	9776	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode12	barcode12	test_sample	11664	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode13	barcode13	test_sample	10976	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode14	barcode14	test_sample	9703	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode15	barcode15	test_sample	12974	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode16	barcode16	test_sample	2478	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode17	barcode17	test_sample	11488	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode18	barcode18	test_sample	9664	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode19	barcode19	test_sample	7550	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode20	barcode20	test_sample	7691	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode21	barcode21	test_sample	16	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode22	barcode22	test_sample	6776	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode23	barcode23	test_sample	5392	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
barcode24	barcode24	test_sample	35	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
unclassified	unclassified	na	11034	f7fab74c08cc97dbf9427c7bd23aeca74edc8ba0	PL014	PL14	AVP124	2024-09-06T13:04:40.927986-05:00
