barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	2285	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode02	barcode02	test_sample	1616	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode03	barcode03	test_sample	1593	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode04	barcode04	test_sample	1268	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode05	barcode05	test_sample	1217	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode06	barcode06	test_sample	1036	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode07	barcode07	test_sample	1469	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode08	barcode08	test_sample	1599	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode09	barcode09	test_sample	1619	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode10	barcode10	test_sample	1436	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode11	barcode11	test_sample	1826	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode12	barcode12	test_sample	1651	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode13	barcode13	test_sample	1716	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode14	barcode14	test_sample	1792	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode15	barcode15	test_sample	1710	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode16	barcode16	test_sample	2168	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode17	barcode17	test_sample	1845	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode18	barcode18	test_sample	1658	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode19	barcode19	test_sample	1416	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode20	barcode20	test_sample	1436	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode21	barcode21	test_sample	2068	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode22	barcode22	test_sample	2144	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode23	barcode23	test_sample	1841	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
barcode24	barcode24	test_sample	3	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
unclassified	unclassified	na	5412	c788a0e47751b6c4043d0de05f86afe30a22f9dd	PL016	PL16	AVU071	2024-09-20T18:00:38.522417-05:00
