barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	12560	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode02	barcode02	test_sample	11554	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode03	barcode03	test_sample	12075	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode04	barcode04	test_sample	13517	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode05	barcode05	test_sample	7073	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode06	barcode06	test_sample	12815	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode07	barcode07	test_sample	10094	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode08	barcode08	test_sample	11086	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode09	barcode09	test_sample	9746	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode10	barcode10	test_sample	7897	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode11	barcode11	test_sample	3929	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode12	barcode12	test_sample	10704	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode13	barcode13	test_sample	14471	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode14	barcode14	test_sample	7382	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode15	barcode15	test_sample	12380	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode16	barcode16	test_sample	12191	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode17	barcode17	test_sample	10336	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode18	barcode18	test_sample	5940	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode19	barcode19	test_sample	10196	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode20	barcode20	test_sample	2937	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode21	barcode21	test_sample	11614	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode22	barcode22	test_sample	12697	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode23	barcode23	test_sample	12155	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
barcode24	barcode24	test_sample	25	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
unclassified	unclassified	na	5646	9ad1848487a8527786b47cfead66c44f362583b5	PL8-9	PL008	AVP307	2024-08-16T13:56:41.110480-05:00
