barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	8690	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode02	barcode02	test_sample	5024	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode03	barcode03	test_sample	16894	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode04	barcode04	test_sample	9279	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode05	barcode05	test_sample	4254	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode06	barcode06	test_sample	6956	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode07	barcode07	test_sample	5933	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode08	barcode08	test_sample	7163	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode09	barcode09	test_sample	8063	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode10	barcode10	test_sample	3276	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode11	barcode11	test_sample	6080	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode12	barcode12	test_sample	4723	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode13	barcode13	test_sample	7468	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode14	barcode14	test_sample	6339	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode15	barcode15	test_sample	6130	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode16	barcode16	test_sample	2952	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode17	barcode17	test_sample	8607	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode18	barcode18	test_sample	6474	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode19	barcode19	test_sample	4804	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode20	barcode20	test_sample	5231	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode21	barcode21	test_sample	8812	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode22	barcode22	test_sample	9546	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode23	barcode23	test_sample	6111	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
barcode24	barcode24	test_sample	12	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
unclassified	unclassified	na	9097	2cbd4a7facc704c9255cab190ac6112351c33767	HDZ-PL-017	PL017	AWD070	2024-10-25T15:44:15.683118-05:00
