barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	15054	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode02	barcode02	test_sample	14207	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode03	barcode03	test_sample	14968	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode04	barcode04	test_sample	11885	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode05	barcode05	test_sample	5981	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode06	barcode06	test_sample	12502	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode07	barcode07	test_sample	8982	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode08	barcode08	test_sample	13918	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode09	barcode09	test_sample	12222	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode10	barcode10	test_sample	8728	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode11	barcode11	test_sample	11652	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode12	barcode12	test_sample	12954	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode13	barcode13	test_sample	13115	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode14	barcode14	test_sample	12686	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode15	barcode15	test_sample	14987	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode16	barcode16	test_sample	10826	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode17	barcode17	test_sample	19760	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode18	barcode18	test_sample	19730	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode19	barcode19	test_sample	10800	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode20	barcode20	test_sample	3675	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode21	barcode21	test_sample	16165	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode22	barcode22	test_sample	16651	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode23	barcode23	test_sample	12083	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
barcode24	barcode24	test_sample	55	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
unclassified	unclassified	na	8981	6d8a3cadbc83a81c29447cff557d625df54e4aad	HDZ-PL011	PL011	AVN953	2024-08-21T16:19:53.872014-05:00
