barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	8933	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode02	barcode02	test_sample	5802	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode03	barcode03	test_sample	6669	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode04	barcode04	test_sample	5519	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode05	barcode05	test_sample	5214	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode06	barcode06	test_sample	5918	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode07	barcode07	test_sample	3631	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode08	barcode08	test_sample	5254	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode09	barcode09	test_sample	4230	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode10	barcode10	test_sample	2291	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode11	barcode11	test_sample	6919	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode12	barcode12	test_sample	8012	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode13	barcode13	test_sample	3559	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode14	barcode14	test_sample	5136	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode15	barcode15	test_sample	7376	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode16	barcode16	test_sample	6103	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode17	barcode17	test_sample	9422	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode18	barcode18	test_sample	7441	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode19	barcode19	test_sample	2870	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode20	barcode20	test_sample	5265	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode21	barcode21	test_sample	8654	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode22	barcode22	test_sample	3965	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode23	barcode23	test_sample	6164	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
barcode24	barcode24	test_sample	33	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
unclassified	unclassified	na	7022	93d6a2872003a70ab4a5942e8ea83b0dcbdc0930	PL12-13	PL012	AVN769	2024-08-30T12:37:27.777913-05:00
