barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	10444	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode02	barcode02	test_sample	6858	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode03	barcode03	test_sample	11008	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode04	barcode04	test_sample	7546	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode05	barcode05	test_sample	4358	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode06	barcode06	test_sample	4189	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode07	barcode07	test_sample	7512	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode08	barcode08	test_sample	9863	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode09	barcode09	test_sample	11903	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode10	barcode10	test_sample	14103	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode11	barcode11	test_sample	11660	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode12	barcode12	test_sample	7976	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode13	barcode13	test_sample	7222	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode14	barcode14	test_sample	3664	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode15	barcode15	test_sample	5232	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode16	barcode16	test_sample	7106	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode17	barcode17	test_sample	9508	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode18	barcode18	test_sample	12629	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode19	barcode19	test_sample	7470	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode20	barcode20	test_sample	13979	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode21	barcode21	test_sample	1	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode22	barcode22	test_sample	7994	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode23	barcode23	test_sample	13238	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
barcode24	barcode24	test_sample	15	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
unclassified	unclassified	na	6402	3a194f1194dc145689e1d009e8e30ee12cc6de37	HDZ-PL-005	PL005	AVI712	2024-07-17T12:41:40.265440-05:00
