barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	11854	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode02	barcode02	test_sample	6397	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode03	barcode03	test_sample	15664	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode04	barcode04	test_sample	5966	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode05	barcode05	test_sample	6665	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode06	barcode06	test_sample	11592	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode07	barcode07	test_sample	5120	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode08	barcode08	test_sample	16075	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode09	barcode09	test_sample	14484	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode10	barcode10	test_sample	5724	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode11	barcode11	test_sample	17546	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode12	barcode12	test_sample	19257	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode13	barcode13	test_sample	7596	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode14	barcode14	test_sample	12739	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode15	barcode15	test_sample	5602	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode16	barcode16	test_sample	8562	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode17	barcode17	test_sample	10248	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode18	barcode18	test_sample	5356	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode19	barcode19	test_sample	10029	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode20	barcode20	test_sample	8712	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode21	barcode21	test_sample	9210	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode22	barcode22	test_sample	10891	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode23	barcode23	test_sample	5263	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
barcode24	barcode24	test_sample	27	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
unclassified	unclassified	na	13025	2af33f58cf22c8532d4dcecc4037460dd9300411	PL8-9	PL009	AWN500	2024-08-16T13:56:41.056086-05:00
