barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	4843	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode02	barcode02	test_sample	3609	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode03	barcode03	test_sample	3165	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode04	barcode04	test_sample	2259	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode05	barcode05	test_sample	0	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode06	barcode06	test_sample	2998	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode07	barcode07	test_sample	0	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode08	barcode08	test_sample	4202	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode09	barcode09	test_sample	3500	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode10	barcode10	test_sample	1597	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode11	barcode11	test_sample	3596	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode12	barcode12	test_sample	4534	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode13	barcode13	test_sample	4011	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode14	barcode14	test_sample	3401	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode15	barcode15	test_sample	4981	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode16	barcode16	test_sample	2315	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode17	barcode17	test_sample	5065	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode18	barcode18	test_sample	5010	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode19	barcode19	test_sample	2074	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode20	barcode20	test_sample	3587	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode21	barcode21	test_sample	5895	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode22	barcode22	test_sample	2754	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode23	barcode23	test_sample	6233	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
barcode24	barcode24	test_sample	1	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
unclassified	unclassified	na	1489	746ca9ed1dd4a2ac0ed4b689aafa4a5143aa4c95	PL10-11	PL010	AXK913	2024-08-21T14:58:28.002915-05:00
