barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	8735	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode02	barcode02	test_sample	5240	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode03	barcode03	test_sample	9409	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode04	barcode04	test_sample	6325	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode05	barcode05	test_sample	3959	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode06	barcode06	test_sample	8195	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode07	barcode07	test_sample	7588	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode08	barcode08	test_sample	1558	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode09	barcode09	test_sample	3709	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode10	barcode10	test_sample	5403	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode11	barcode11	test_sample	5763	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode12	barcode12	test_sample	7980	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode13	barcode13	test_sample	8380	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode14	barcode14	test_sample	7712	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode15	barcode15	test_sample	833	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode16	barcode16	test_sample	5331	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode17	barcode17	test_sample	8079	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode18	barcode18	test_sample	7572	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode19	barcode19	test_sample	7403	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode20	barcode20	test_sample	4613	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode21	barcode21	test_sample	9358	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode22	barcode22	test_sample	9821	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode23	barcode23	test_sample	12009	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
barcode24	barcode24	test_sample	29	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
unclassified	unclassified	na	4801	6d8d30eea6024d62d76e288e0f4b0eb099eafefb	PL12-13	PL013	AVP114	2024-08-30T12:37:28.176954-05:00
