barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	4741	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode02	barcode02	test_sample	4396	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode03	barcode03	test_sample	2954	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode04	barcode04	test_sample	3913	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode05	barcode05	test_sample	2172	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode06	barcode06	test_sample	2752	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode07	barcode07	test_sample	4287	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode08	barcode08	test_sample	2859	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode09	barcode09	test_sample	3238	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode10	barcode10	test_sample	2232	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode11	barcode11	test_sample	3875	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode12	barcode12	test_sample	3682	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode13	barcode13	test_sample	2131	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode14	barcode14	test_sample	3178	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode15	barcode15	test_sample	4836	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode16	barcode16	test_sample	3874	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode17	barcode17	test_sample	4851	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode18	barcode18	test_sample	4254	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode19	barcode19	test_sample	5155	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode20	barcode20	test_sample	3307	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode21	barcode21	test_sample	5425	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode22	barcode22	test_sample	5254	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode23	barcode23	test_sample	5397	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
barcode24	barcode24	test_sample	15	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
unclassified	unclassified	na	4505	053e5276df6452d96c958a5b53964a454609ef4a	PL018	PL18	AWC828	2024-10-29T13:36:31.207175-05:00
