barcode	alias	type	target_unclassified	acquisition_run_id	protocol_group_id	sample_id	flow_cell_id	started
barcode01	barcode01	test_sample	15433	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode02	barcode02	test_sample	16538	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode03	barcode03	test_sample	15834	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode04	barcode04	test_sample	14512	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode05	barcode05	test_sample	9529	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode06	barcode06	test_sample	14379	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode07	barcode07	test_sample	7629	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode08	barcode08	test_sample	16298	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode09	barcode09	test_sample	18622	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode10	barcode10	test_sample	10182	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode11	barcode11	test_sample	16478	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode12	barcode12	test_sample	20912	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode13	barcode13	test_sample	8954	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode14	barcode14	test_sample	13340	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode15	barcode15	test_sample	6947	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode16	barcode16	test_sample	11182	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode17	barcode17	test_sample	19819	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode18	barcode18	test_sample	3979	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode19	barcode19	test_sample	17019	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode20	barcode20	test_sample	10268	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode21	barcode21	test_sample	12928	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode22	barcode22	test_sample	16582	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode23	barcode23	test_sample	16382	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
barcode24	barcode24	test_sample	28	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
unclassified	unclassified	na	11327	d08e0b1ab1202afc84e8fc87b66dc088fd681b08	HDZ-PL-006	PL006	AVI490	2024-07-18T15:35:26.690098-05:00
