SequenceID,Pipeline,LibraryTube,LibraryBarcode,ExtractID,SampleID,Final Library Concentration,Volume Added to Pool (uL),Seq ID,Run ID
HDZ-168-S58,16S,12,16S12,HDZ-168-E1,HDZ-168,1.62,2.5,PL003,MIN_16_2024-6-12
HDZ-190-S59,16S,13,16S13,HDZ-190-E1,HDZ-190,3.55,1.1,PL003,MIN_16_2024-6-12
HDZ-108-S60,16S,14,16S14,HDZ-108-E1,HDZ-108,3.88,1,PL003,MIN_16_2024-6-12
HDZ-175-S61,16S,15,16S15,HDZ-175-E1,HDZ-175,1.89,2.1,PL003,MIN_16_2024-6-12
HDZ-188-S62,16S,16,16S16,HDZ-188-E1,HDZ-188,1.77,2.3,PL003,MIN_16_2024-6-12
HDZ-058-S63,16S,17,16S17,HDZ-058-E1,HDZ-058,3.9,1,PL003,MIN_16_2024-6-12
HDZ-089-S64,16S,18,16S18,HDZ-089-E1,HDZ-089,6.9,0.6,PL003,MIN_16_2024-6-12
HDZ-093-S65,16S,19,16S19,HDZ-093-E1,HDZ-093,1.69,2.4,PL003,MIN_16_2024-6-12
HDZ-094-S66,16S,20,16S20,HDZ-094-E1,HDZ-094,1.46,2.8,PL003,MIN_16_2024-6-12
HDZ-155-S67,16S,21,16S21,HDZ-155-E1,HDZ-155,1.71,2.3,PL003,MIN_16_2024-6-12
HDZ-156-S68,16S,22,16S22,HDZ-156-E1,HDZ-156,2.31,1.7,PL003,MIN_16_2024-6-12
HDZ-104-S69,16S,23,16S23,HDZ-104-E1,HDZ-104,2.51,1.6,PL003,MIN_16_2024-6-12
PL-NTC-003-CTRL,16S,24,16S24,PL-NTC-003-E1,#N/A,0.757,5.3,PL003,MIN_16_2024-6-12
HDZ-193-S70,16S,1,16S1,HDZ-193-E1,HDZ-193,2.73,1.5,PL004,MIN_16_2024-6-13
HDZ-187-S71,16S,2,16S2,HDZ-187-E1,HDZ-187,2.38,1.7,PL004,MIN_16_2024-6-13
HDZ-099-S72,16S,3,16S3,HDZ-099-E1,HDZ-099,4.72,0.9,PL004,MIN_16_2024-6-13
HDZ-186-S73,16S,4,16S4,HDZ-186-E1,HDZ-186,3.47,1.2,PL004,MIN_16_2024-6-13
HDZ-181-S74,16S,5,16S5,HDZ-181-E1,HDZ-181,1.43,2.8,PL004,MIN_16_2024-6-13
HDZ-192-S75,16S,6,16S6,HDZ-192-E1,HDZ-192,3,1.3,PL004,MIN_16_2024-6-13
HDZ-196-S76,16S,7,16S7,HDZ-196-E1,HDZ-196,2.56,1.6,PL004,MIN_16_2024-6-13
HDZ-161-S77,16S,8,16S8,HDZ-161-E1,HDZ-161,2.17,1.9,PL004,MIN_16_2024-6-13
HDZ-087-S78,16S,9,16S9,HDZ-087-E1,HDZ-087,4.23,0.9,PL004,MIN_16_2024-6-13
HDZ-071-S79,16S,10,16S10,HDZ-071-E1,HDZ-071,1.19,3.4,PL004,MIN_16_2024-6-13
HDZ-060-S80,16S,11,16S11,HDZ-060-E1,HDZ-060,4.24,0.9,PL004,MIN_16_2024-6-13
