SequenceID,Pipeline,LibraryTube,LibraryBarcode,ExtractID,SampleID,Final Library Concentration,Volume Added to Pool (uL),Seq ID,Run ID
HDZ-432-S228,16S,21,16S21,HDZ-432-E1,HDZ-432,,,PL010,MIN_16_2024-8-21
HDZ-433-S229,16S,22,16S22,HDZ-433-E1,HDZ-433,,,PL010,MIN_16_2024-8-21
HDZ-434-S230,16S,23,16S23,HDZ-434-E1,HDZ-434,,,PL010,MIN_16_2024-8-21
PL-NTC-010-CTRL,16S,24,16S24,PL-NTC-010-E1,#N/A,,,PL010,MIN_16_2024-8-21
HDZ-001-S231,16S,1,16S1,HDZ-001-E1,HDZ-001,,,PL011,MIN_16_2024-8-21
HDZ-050-S232,16S,2,16S2,HDZ-050-E1,HDZ-050,,,PL011,MIN_16_2024-8-21
HDZ-057-S233,16S,3,16S3,HDZ-057-E1,HDZ-057,,,PL011,MIN_16_2024-8-21
HDZ-088-S234,16S,4,16S4,HDZ-088-E1,HDZ-088,,,PL011,MIN_16_2024-8-21
HDZ-090-S235,16S,5,16S5,HDZ-090-E1,HDZ-090,,,PL011,MIN_16_2024-8-21
HDZ-091-S236,16S,6,16S6,HDZ-091-E1,HDZ-091,,,PL011,MIN_16_2024-8-21
HDZ-092-S237,16S,7,16S7,HDZ-092-E1,HDZ-092,,,PL011,MIN_16_2024-8-21
HDZ-098-S238,16S,8,16S8,HDZ-098-E1,HDZ-098,,,PL011,MIN_16_2024-8-21
HDZ-103-S239,16S,9,16S9,HDZ-103-E1,HDZ-103,,,PL011,MIN_16_2024-8-21
HDZ-109-S240,16S,10,16S10,HDZ-109-E1,HDZ-109,,,PL011,MIN_16_2024-8-21
HDZ-157-S241,16S,11,16S11,HDZ-157-E1,HDZ-157,,,PL011,MIN_16_2024-8-21
HDZ-160-S242,16S,12,16S12,HDZ-160-E1,HDZ-160,,,PL011,MIN_16_2024-8-21
HDZ-162-S243,16S,13,16S13,HDZ-162-E1,HDZ-162,,,PL011,MIN_16_2024-8-21
HDZ-169-S244,16S,14,16S14,HDZ-169-E1,HDZ-169,,,PL011,MIN_16_2024-8-21
HDZ-170-S245,16S,15,16S15,HDZ-170-E1,HDZ-170,,,PL011,MIN_16_2024-8-21
HDZ-173-S246,16S,16,16S16,HDZ-173-E1,HDZ-173,,,PL011,MIN_16_2024-8-21
HDZ-174-S247,16S,17,16S17,HDZ-174-E1,HDZ-174,,,PL011,MIN_16_2024-8-21
HDZ-184-S248,16S,18,16S18,HDZ-184-E1,HDZ-184,,,PL011,MIN_16_2024-8-21
HDZ-204-S249,16S,19,16S19,HDZ-204-E1,HDZ-204,,,PL011,MIN_16_2024-8-21
HDZ-212-S250,16S,20,16S20,HDZ-212-E1,HDZ-212,,,PL011,MIN_16_2024-8-21
HDZ-214-S251,16S,21,16S21,HDZ-214-E1,HDZ-214,,,PL011,MIN_16_2024-8-21
HDZ-339-S252,16S,22,16S22,HDZ-339-E1,HDZ-339,,,PL011,MIN_16_2024-8-21
HDZ-437-S253,16S,23,16S23,HDZ-437-E1,HDZ-437,,,PL011,MIN_16_2024-8-21
PL-NTC-011-CTRL,16S,24,16S24,PL-NTC-011-E1,#N/A,,,PL011,MIN_16_2024-8-21
HDZ-266-S254,16S,1,16S1,HDZ-266-E1,HDZ-266,,,PL012,MIN_16_2024-8-30
HDZ-267-S255,16S,2,16S2,HDZ-267-E1,HDZ-267,,,PL012,MIN_16_2024-8-30
HDZ-316-S256,16S,3,16S3,HDZ-316-E1,HDZ-316,,,PL012,MIN_16_2024-8-30
HDZ-335-S257,16S,4,16S4,HDZ-335-E1,HDZ-335,,,PL012,MIN_16_2024-8-30
HDZ-345-S258,16S,5,16S5,HDZ-345-E1,HDZ-345,,,PL012,MIN_16_2024-8-30
HDZ-348-S259,16S,6,16S6,HDZ-348-E1,HDZ-348,,,PL012,MIN_16_2024-8-30
HDZ-383-S260,16S,7,16S7,HDZ-383-E1,HDZ-383,,,PL012,MIN_16_2024-8-30
HDZ-384-S261,16S,8,16S8,HDZ-384-E1,HDZ-384,,,PL012,MIN_16_2024-8-30
HDZ-385-S262,16S,9,16S9,HDZ-385-E1,HDZ-385,,,PL012,MIN_16_2024-8-30
HDZ-386-S263,16S,10,16S10,HDZ-386-E1,HDZ-386,,,PL012,MIN_16_2024-8-30
HDZ-387-S264,16S,11,16S11,HDZ-387-E1,HDZ-387,,,PL012,MIN_16_2024-8-30
HDZ-388-S265,16S,12,16S12,HDZ-388-E1,HDZ-388,,,PL012,MIN_16_2024-8-30
HDZ-389-S266,16S,13,16S13,HDZ-389-E1,HDZ-389,,,PL012,MIN_16_2024-8-30
HDZ-390-S267,16S,14,16S14,HDZ-390-E1,HDZ-390,,,PL012,MIN_16_2024-8-30
HDZ-391-S268,16S,15,16S15,HDZ-391-E1,HDZ-391,,,PL012,MIN_16_2024-8-30
HDZ-392-S269,16S,16,16S16,HDZ-392-E1,HDZ-392,,,PL012,MIN_16_2024-8-30
HDZ-393-S270,16S,17,16S17,HDZ-393-E1,HDZ-393,,,PL012,MIN_16_2024-8-30
HDZ-394-S271,16S,18,16S18,HDZ-394-E1,HDZ-394,,,PL012,MIN_16_2024-8-30
HDZ-395-S272,16S,19,16S19,HDZ-395-E1,HDZ-395,,,PL012,MIN_16_2024-8-30
HDZ-396-S273,16S,20,16S20,HDZ-396-E1,HDZ-396,,,PL012,MIN_16_2024-8-30
HDZ-397-S274,16S,21,16S21,HDZ-397-E1,HDZ-397,,,PL012,MIN_16_2024-8-30
HDZ-438-S275,16S,22,16S22,HDZ-438-E1,HDZ-438,,,PL012,MIN_16_2024-8-30
HDZ-439-S276,16S,23,16S23,HDZ-439-E1,HDZ-439,,,PL012,MIN_16_2024-8-30
PL-NTC-012-CTRL,16S,24,16S24,PL-NTC-012-E1,#N/A,,,PL012,MIN_16_2024-8-30
HDZ-230-S277,16S,1,16S1,HDZ-230-E1,HDZ-230,,,PL013,MIN_16_2024-8-30
HDZ-231-S278,16S,2,16S2,HDZ-231-E1,HDZ-231,,,PL013,MIN_16_2024-8-30
HDZ-232-S279,16S,3,16S3,HDZ-232-E1,HDZ-232,,,PL013,MIN_16_2024-8-30
HDZ-233-S280,16S,4,16S4,HDZ-233-E1,HDZ-233,,,PL013,MIN_16_2024-8-30
HDZ-234-S281,16S,5,16S5,HDZ-234-E1,HDZ-234,,,PL013,MIN_16_2024-8-30
HDZ-235-S282,16S,6,16S6,HDZ-235-E1,HDZ-235,,,PL013,MIN_16_2024-8-30
HDZ-236-S283,16S,7,16S7,HDZ-236-E1,HDZ-236,,,PL013,MIN_16_2024-8-30
HDZ-374-S284,16S,8,16S8,HDZ-374-E1,HDZ-374,,,PL013,MIN_16_2024-8-30
HDZ-375-S285,16S,9,16S9,HDZ-375-E1,HDZ-375,,,PL013,MIN_16_2024-8-30
HDZ-376-S286,16S,10,16S10,HDZ-376-E1,HDZ-376,,,PL013,MIN_16_2024-8-30
HDZ-377-S287,16S,11,16S11,HDZ-377-E1,HDZ-377,,,PL013,MIN_16_2024-8-30
HDZ-378-S288,16S,12,16S12,HDZ-378-E1,HDZ-378,,,PL013,MIN_16_2024-8-30
HDZ-379-S289,16S,13,16S13,HDZ-379-E1,HDZ-379,,,PL013,MIN_16_2024-8-30
HDZ-380-S290,16S,14,16S14,HDZ-380-E1,HDZ-380,,,PL013,MIN_16_2024-8-30
HDZ-422-S291,16S,15,16S15,HDZ-422-E1,HDZ-422,,,PL013,MIN_16_2024-8-30
HDZ-430-S292,16S,16,16S16,HDZ-430-E1,HDZ-430,,,PL013,MIN_16_2024-8-30
HDZ-440-S293,16S,17,16S17,HDZ-440-E1,HDZ-440,,,PL013,MIN_16_2024-8-30
HDZ-442-S294,16S,18,16S18,HDZ-442-E1,HDZ-442,,,PL013,MIN_16_2024-8-30
HDZ-443-S295,16S,19,16S19,HDZ-443-E1,HDZ-443,,,PL013,MIN_16_2024-8-30
HDZ-444-S296,16S,20,16S20,HDZ-444-E1,HDZ-444,,,PL013,MIN_16_2024-8-30
HDZ-445-S297,16S,21,16S21,HDZ-445-E1,HDZ-445,,,PL013,MIN_16_2024-8-30
HDZ-448-S298,16S,22,16S22,HDZ-448-E1,HDZ-448,,,PL013,MIN_16_2024-8-30
HDZ-449-S299,16S,23,16S23,HDZ-449-E1,HDZ-449,,,PL013,MIN_16_2024-8-30
PL-NTC-013-CTRL,16S,24,16S24,PL-NTC-013-E1,#N/A,,,PL013,MIN_16_2024-8-30
HDZ-095-S300,16S,1,16S1,HDZ-095-E1,HDZ-095,,,PL014,MIN_16_2024-9-6
HDZ-158-S301,16S,2,16S2,HDZ-158-E1,HDZ-158,,,PL014,MIN_16_2024-9-6
HDZ-159-S302,16S,3,16S3,HDZ-159-E1,HDZ-159,,,PL014,MIN_16_2024-9-6
HDZ-171-S303,16S,4,16S4,HDZ-171-E1,HDZ-171,,,PL014,MIN_16_2024-9-6
HDZ-172-S304,16S,5,16S5,HDZ-172-E1,HDZ-172,,,PL014,MIN_16_2024-9-6
HDZ-237-S305,16S,6,16S6,HDZ-237-E1,HDZ-237,,,PL014,MIN_16_2024-9-6
HDZ-238-S306,16S,7,16S7,HDZ-238-E1,HDZ-238,,,PL014,MIN_16_2024-9-6
HDZ-239-S307,16S,8,16S8,HDZ-239-E1,HDZ-239,,,PL014,MIN_16_2024-9-6
HDZ-268-S308,16S,9,16S9,HDZ-268-E1,HDZ-268,,,PL014,MIN_16_2024-9-6
HDZ-269-S309,16S,10,16S10,HDZ-269-E1,HDZ-269,,,PL014,MIN_16_2024-9-6
HDZ-270-S310,16S,11,16S11,HDZ-270-E1,HDZ-270,,,PL014,MIN_16_2024-9-6
HDZ-271-S311,16S,12,16S12,HDZ-271-E1,HDZ-271,,,PL014,MIN_16_2024-9-6
HDZ-272-S312,16S,13,16S13,HDZ-272-E1,HDZ-272,,,PL014,MIN_16_2024-9-6
HDZ-273-S313,16S,14,16S14,HDZ-273-E1,HDZ-273,,,PL014,MIN_16_2024-9-6
HDZ-274-S314,16S,15,16S15,HDZ-274-E1,HDZ-274,,,PL014,MIN_16_2024-9-6
HDZ-329-S315,16S,16,16S16,HDZ-329-E1,HDZ-329,,,PL014,MIN_16_2024-9-6
HDZ-344-S316,16S,17,16S17,HDZ-344-E1,HDZ-344,,,PL014,MIN_16_2024-9-6
HDZ-346-S317,16S,18,16S18,HDZ-346-E1,HDZ-346,,,PL014,MIN_16_2024-9-6
HDZ-347-S318,16S,19,16S19,HDZ-347-E1,HDZ-347,,,PL014,MIN_16_2024-9-6
HDZ-412-S319,16S,20,16S20,HDZ-412-E1,HDZ-412,,,PL014,MIN_16_2024-9-6
HDZ-413-S320,16S,21,16S21,HDZ-413-E1,HDZ-413,,,PL014,MIN_16_2024-9-6
HDZ-414-S321,16S,22,16S22,HDZ-414-E1,HDZ-414,,,PL014,MIN_16_2024-9-6
HDZ-450-S322,16S,23,16S23,HDZ-450-E1,HDZ-450,,,PL014,MIN_16_2024-9-6
PL-NTC-014-CTRL,16S,24,16S24,PL-NTC-014-E1,#N/A,,,PL014,MIN_16_2024-9-6
HDZ-330-S323,16S,1,16S1,HDZ-330-E1,HDZ-330,,,PL015,MIN_16_2024-9-9
HDZ-331-S324,16S,2,16S2,HDZ-331-E1,HDZ-331,,,PL015,MIN_16_2024-9-9
HDZ-334-S325,16S,3,16S3,HDZ-334-E1,HDZ-334,,,PL015,MIN_16_2024-9-9
HDZ-340-S326,16S,4,16S4,HDZ-340-E1,HDZ-340,,,PL015,MIN_16_2024-9-9
HDZ-381-S327,16S,5,16S5,HDZ-381-E1,HDZ-381,,,PL015,MIN_16_2024-9-9
HDZ-382-S328,16S,6,16S6,HDZ-382-E1,HDZ-382,,,PL015,MIN_16_2024-9-9
HDZ-398-S329,16S,7,16S7,HDZ-398-E1,HDZ-398,,,PL015,MIN_16_2024-9-9
HDZ-399-S330,16S,8,16S8,HDZ-399-E1,HDZ-399,,,PL015,MIN_16_2024-9-9
HDZ-400-S331,16S,9,16S9,HDZ-400-E1,HDZ-400,,,PL015,MIN_16_2024-9-9
HDZ-401-S332,16S,10,16S10,HDZ-401-E1,HDZ-401,,,PL015,MIN_16_2024-9-9
HDZ-402-S333,16S,11,16S11,HDZ-402-E1,HDZ-402,,,PL015,MIN_16_2024-9-9
HDZ-403-S334,16S,12,16S12,HDZ-403-E1,HDZ-403,,,PL015,MIN_16_2024-9-9
HDZ-405-S335,16S,13,16S13,HDZ-405-E1,HDZ-405,,,PL015,MIN_16_2024-9-9
HDZ-406-S336,16S,14,16S14,HDZ-406-E1,HDZ-406,,,PL015,MIN_16_2024-9-9
HDZ-407-S337,16S,15,16S15,HDZ-407-E1,HDZ-407,,,PL015,MIN_16_2024-9-9
HDZ-408-S338,16S,16,16S16,HDZ-408-E1,HDZ-408,,,PL015,MIN_16_2024-9-9
HDZ-409-S339,16S,17,16S17,HDZ-409-E1,HDZ-409,,,PL015,MIN_16_2024-9-9
HDZ-441-S340,16S,18,16S18,HDZ-441-E1,HDZ-441,,,PL015,MIN_16_2024-9-9
HDZ-446-S341,16S,19,16S19,HDZ-446-E1,HDZ-446,,,PL015,MIN_16_2024-9-9
HDZ-447-S342,16S,20,16S20,HDZ-447-E1,HDZ-447,,,PL015,MIN_16_2024-9-9
HDZ-451-S343,16S,21,16S21,HDZ-451-E1,HDZ-451,,,PL015,MIN_16_2024-9-9
HDZ-452-S344,16S,22,16S22,HDZ-452-E1,HDZ-452,,,PL015,MIN_16_2024-9-9
HDZ-453-S345,16S,23,16S23,HDZ-453-E1,HDZ-453,,,PL015,MIN_16_2024-9-9
PL-NTC-015-CTRL,16S,24,16S24,PL-NTC-015-E1,#N/A,,,PL015,MIN_16_2024-9-9
HDZ-049-E1-S346,16S,1,16S1,HDZ-049-E1,HDZ-049,,,PL016,MIN_16_2024-9-20
HDZ-201-E1-S347,16S,2,16S2,HDZ-201-E1,HDZ-201,,,PL016,MIN_16_2024-9-20
HDZ-202-E1-S348,16S,3,16S3,HDZ-202-E1,HDZ-202,,,PL016,MIN_16_2024-9-20
HDZ-410-E1-S349,16S,4,16S4,HDZ-410-E1,HDZ-410,,,PL016,MIN_16_2024-9-20
HDZ-411-E1-S350,16S,5,16S5,HDZ-411-E1,HDZ-411,,,PL016,MIN_16_2024-9-20
HDZ-418-E1-S351,16S,6,16S6,HDZ-418-E1,HDZ-418,,,PL016,MIN_16_2024-9-20
HDZ-419-E1-S352,16S,7,16S7,HDZ-419-E1,HDZ-419,,,PL016,MIN_16_2024-9-20
HDZ-427-E1-S353,16S,8,16S8,HDZ-427-E1,HDZ-427,,,PL016,MIN_16_2024-9-20
HDZ-428-E1-S354,16S,9,16S9,HDZ-428-E1,HDZ-428,,,PL016,MIN_16_2024-9-20
HDZ-429-E1-S355,16S,10,16S10,HDZ-429-E1,HDZ-429,,,PL016,MIN_16_2024-9-20
HDZ-435-E1-S356,16S,11,16S11,HDZ-435-E1,HDZ-435,,,PL016,MIN_16_2024-9-20
HDZ-436-E1-S357,16S,12,16S12,HDZ-436-E1,HDZ-436,,,PL016,MIN_16_2024-9-20
HDZ-454-E1-S358,16S,13,16S13,HDZ-454-E1,HDZ-454,,,PL016,MIN_16_2024-9-20
HDZ-455-E1-S359,16S,14,16S14,HDZ-455-E1,HDZ-455,,,PL016,MIN_16_2024-9-20
HDZ-456-E1-S360,16S,15,16S15,HDZ-456-E1,HDZ-456,,,PL016,MIN_16_2024-9-20
HDZ-457-E1-S361,16S,16,16S16,HDZ-457-E1,HDZ-457,,,PL016,MIN_16_2024-9-20
HDZ-458-E1-S362,16S,17,16S17,HDZ-458-E1,HDZ-458,,,PL016,MIN_16_2024-9-20
HDZ-459-E1-S363,16S,18,16S18,HDZ-459-E1,HDZ-459,,,PL016,MIN_16_2024-9-20
HDZ-460-E1-S364,16S,19,16S19,HDZ-460-E1,HDZ-460,,,PL016,MIN_16_2024-9-20
HDZ-467-E1-S365,16S,20,16S20,HDZ-467-E1,HDZ-467,,,PL016,MIN_16_2024-9-20
HDZ-468-E1-S366,16S,21,16S21,HDZ-468-E1,HDZ-468,,,PL016,MIN_16_2024-9-20
HDZ-469-E1-S367,16S,22,16S22,HDZ-469-E1,HDZ-469,,,PL016,MIN_16_2024-9-20
HDZ-470-E1-S368,16S,23,16S23,HDZ-470-E1,HDZ-470,,,PL016,MIN_16_2024-9-20
PL-NTC-016-CTRL,16S,24,16S24,PL-NTC-016,#N/A,,,PL016,MIN_16_2024-9-20
HDZ-461-S369,16S,1,16S1,HDZ-461-E1,HDZ-461,,,PL017,MIN_16_2024-10-25
HDZ-462-S370,16S,2,16S2,HDZ-462-E1,HDZ-462,,,PL017,MIN_16_2024-10-25
HDZ-463-S371,16S,3,16S3,HDZ-463-E1,HDZ-463,,,PL017,MIN_16_2024-10-25
HDZ-464-S372,16S,4,16S4,HDZ-464-E1,HDZ-464,,,PL017,MIN_16_2024-10-25
HDZ-465-S373,16S,5,16S5,HDZ-465-E1,HDZ-465,,,PL017,MIN_16_2024-10-25
HDZ-466-S374,16S,6,16S6,HDZ-466-E1,HDZ-466,,,PL017,MIN_16_2024-10-25
HDZ-473-S375,16S,7,16S7,HDZ-473-E1,HDZ-473,,,PL017,MIN_16_2024-10-25
HDZ-474-S376,16S,8,16S8,HDZ-474-E1,HDZ-474,,,PL017,MIN_16_2024-10-25
HDZ-475-S377,16S,9,16S9,HDZ-475-E1,HDZ-475,,,PL017,MIN_16_2024-10-25
HDZ-476-S378,16S,10,16S10,HDZ-476-E1,HDZ-476,,,PL017,MIN_16_2024-10-25
HDZ-477-S379,16S,11,16S11,HDZ-477-E1,HDZ-477,,,PL017,MIN_16_2024-10-25
HDZ-478-S380,16S,12,16S12,HDZ-478-E1,HDZ-478,,,PL017,MIN_16_2024-10-25
HDZ-479-S381,16S,13,16S13,HDZ-479-E1,HDZ-479,,,PL017,MIN_16_2024-10-25
HDZ-480-S382,16S,14,16S14,HDZ-480-E1,HDZ-480,,,PL017,MIN_16_2024-10-25
HDZ-481-S383,16S,15,16S15,HDZ-481-E1,HDZ-481,,,PL017,MIN_16_2024-10-25
HDZ-482-S384,16S,16,16S16,HDZ-482-E1,HDZ-482,,,PL017,MIN_16_2024-10-25
HDZ-483-S385,16S,17,16S17,HDZ-483-E1,HDZ-483,,,PL017,MIN_16_2024-10-25
HDZ-484-S386,16S,18,16S18,HDZ-484-E1,HDZ-484,,,PL017,MIN_16_2024-10-25
HDZ-485-S387,16S,19,16S19,HDZ-485-E1,HDZ-485,,,PL017,MIN_16_2024-10-25
HDZ-486-S388,16S,20,16S20,HDZ-486-E1,HDZ-486,,,PL017,MIN_16_2024-10-25
HDZ-487-S389,16S,21,16S21,HDZ-487-E1,HDZ-487,,,PL017,MIN_16_2024-10-25
HDZ-488-S390,16S,22,16S22,HDZ-488-E1,HDZ-488,,,PL017,MIN_16_2024-10-25
HDZ-489-S391,16S,23,16S23,HDZ-489-E1,HDZ-489,,,PL017,MIN_16_2024-10-25
PL-NTC-017-CTRL,16S,24,16S24,PL-NTC-017,#N/A,,,PL017,MIN_16_2024-10-25
HDZ-490-S392,16S,1,16S1,HDZ-490-E1,HDZ-490,,,PL018,MIN_16_2024-10-29
HDZ-491-S393,16S,2,16S2,HDZ-491-E1,HDZ-491,,,PL018,MIN_16_2024-10-29
HDZ-492-S394,16S,3,16S3,HDZ-492-E1,HDZ-492,,,PL018,MIN_16_2024-10-29
HDZ-493-S395,16S,4,16S4,HDZ-493-E1,HDZ-493,,,PL018,MIN_16_2024-10-29
HDZ-494-S396,16S,5,16S5,HDZ-494-E1,HDZ-494,,,PL018,MIN_16_2024-10-29
HDZ-495-S397,16S,6,16S6,HDZ-495-E1,HDZ-495,,,PL018,MIN_16_2024-10-29
HDZ-496-S398,16S,7,16S7,HDZ-496-E1,HDZ-496,,,PL018,MIN_16_2024-10-29
HDZ-497-S399,16S,8,16S8,HDZ-497-E1,HDZ-497,,,PL018,MIN_16_2024-10-29
HDZ-498-S400,16S,9,16S9,HDZ-498-E1,HDZ-498,,,PL018,MIN_16_2024-10-29
HDZ-499-S401,16S,10,16S10,HDZ-499-E1,HDZ-499,,,PL018,MIN_16_2024-10-29
HDZ-500-S402,16S,11,16S11,HDZ-500-E1,HDZ-500,,,PL018,MIN_16_2024-10-29
HDZ-501-S403,16S,12,16S12,HDZ-501-E1,HDZ-501,,,PL018,MIN_16_2024-10-29
HDZ-502-S404,16S,13,16S13,HDZ-502-E1,HDZ-502,,,PL018,MIN_16_2024-10-29
HDZ-503-S405,16S,14,16S14,HDZ-503-E1,HDZ-503,,,PL018,MIN_16_2024-10-29
HDZ-504-S406,16S,15,16S15,HDZ-504-E1,HDZ-504,,,PL018,MIN_16_2024-10-29
HDZ-506-S407,16S,16,16S16,HDZ-506-E1,HDZ-506,,,PL018,MIN_16_2024-10-29
HDZ-507-S408,16S,17,16S17,HDZ-507-E1,HDZ-507,,,PL018,MIN_16_2024-10-29
HDZ-508-S409,16S,18,16S18,HDZ-508-E1,HDZ-508,,,PL018,MIN_16_2024-10-29
HDZ-509-S410,16S,19,16S19,HDZ-509-E1,HDZ-509,,,PL018,MIN_16_2024-10-29
HDZ-510-S411,16S,20,16S20,HDZ-510-E1,HDZ-510,,,PL018,MIN_16_2024-10-29
HDZ-517-S412,16S,21,16S21,HDZ-517-E1,HDZ-517,,,PL018,MIN_16_2024-10-29
HDZ-522-S413,16S,22,16S22,HDZ-522-E1,HDZ-522,,,PL018,MIN_16_2024-10-29
HDZ-525-S414,16S,23,16S23,HDZ-525-E1,HDZ-525,,,PL018,MIN_16_2024-10-29
PL-NTC-018-CTRL,16S,24,16S24,PL-NTC-018,,,,PL018,MIN_16_2024-10-29
