SampleID	CollectionDate	Subj_Certainty	Subject	n_16s_extract	n_16s_sample	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes
HDZ-048	2023-11-16	yes	Warble	0	0	HDZ-048-E1	2024-02-29	0	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-049	2023-11-18	no	Warble	1	1	HDZ-049-E1	2024-02-12	52	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-050	2023-11-08	yes	Warble	1	1	HDZ-050-E1	2024-02-12	56	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-051	2023-11-14	yes	Warble	1	1	HDZ-051-E1	2024-01-06	17	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-052	2023-11-13	yes	Warble	1	1	HDZ-052-E1	2024-04-08	7.5	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-053	2023-11-18	yes	Culi	1	1	HDZ-053-E1	2024-02-12	104	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-054	2023-11-19	yes	Culi	1	1	HDZ-054-E1	2024-02-12	66	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-055	NA	no	Unknown	1	1	HDZ-055-E1	2024-02-25	49	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-056	2023-11-29	yes	Culi	0	0	HDZ-056-E1	2024-02-29	0.3	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24
HDZ-057	2023-11-26	yes	Culi	1	1	HDZ-057-E1	2024-01-24	77	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-058	2023-11-21	yes	Culi	1	1	HDZ-058-E1	2024-02-12	25	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-059	2023-11-20	yes	Culi	0	0	HDZ-059-E1	2024-02-29	0.3	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-060	2023-12-15	yes	Culi	1	1	HDZ-060-E1	2024-04-08	35	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-061	2023-11-30	yes	Warble	0	0	HDZ-061-E1	2024-02-29	0.2	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-062	NA	yes	Warble	0	0	HDZ-062-E1	2024-02-29	0.2	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-063	2023-11-24	yes	Culi	1	1	HDZ-063-E1	2024-02-25	66	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-064	2023-11-23	yes	Culi	1	1	HDZ-064-E1	2024-02-25	90	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-065	2023-12-03	yes	Culi	1	1	HDZ-065-E1	2024-02-25	27	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-066	2023-11-30	yes	Culi	1	1	HDZ-066-E1	2024-02-25	63	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-067	2023-11-27	no	Warble	1	1	HDZ-067-E1	2024-02-25	62	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-068	2023-11-24	yes	Warble	1	1	HDZ-068-E1	2024-02-29	4.8	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24
HDZ-069	2023-11-22	yes	Culi	1	1	HDZ-069-E1	2024-01-24	69	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-070	2023-12-02	yes	Warble	1	1	HDZ-070-E1	2024-02-29	7.5	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-071	2023-12-02	yes	Culi	1	1	HDZ-071-E1	2024-01-24	35	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-072	2023-11-29	yes	Warble	1	1	HDZ-072-E1	2024-02-29	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-073	2023-11-26	yes	Warble	1	1	HDZ-073-E1	2024-02-25	59	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-074	2023-11-23	yes	Warble	0	0	HDZ-074-E1	2024-03-06	0	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	DNA conc lower than std
HDZ-075	2023-12-01	yes	Warble	0	0	HDZ-075-E1	2024-02-29	0.1	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24
HDZ-076	2023-12-01	yes	Culi	1	1	HDZ-076-E1	2024-02-29	1.4	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-077	2023-11-27	no	Culi	1	1	HDZ-077-E1	2024-02-29	28	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-078	2023-11-23	yes	Culi	1	1	HDZ-078-E1	2024-02-29	5.6	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-079	2023-11-22	yes	Warble	1	1	HDZ-079-E1	2024-02-29	1.5	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-080	2024-01-02	yes	Culi	0	0	HDZ-080-E1	2024-03-06	0	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	DNA conc lower than std
HDZ-081	2023-12-31	yes	Culi	1	1	HDZ-081-E1	2024-03-06	65	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-082	2023-12-29	yes	Warble	1	1	HDZ-082-E1	2024-03-06	79	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-083	2023-12-26	yes	Warble	1	1	HDZ-083-E1	2024-03-06	56	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-084	2023-12-21	yes	Culi	1	1	HDZ-084-E1	2024-03-06	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-085	2024-01-01	yes	Culi	1	1	HDZ-085-E1	2024-03-06	94	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-086	2023-12-30	yes	Culi	1	1	HDZ-086-E1	2024-03-06	83	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-087	2023-12-29	yes	Culi	1	1	HDZ-087-E1	2024-04-03	34	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-088	2023-12-26	yes	Culi	1	1	HDZ-088-E1	2024-04-03	46	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-089	2023-12-24	yes	Culi	1	1	HDZ-089-E1	2024-04-03	25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-090	2023-12-30	yes	Warble	1	1	HDZ-090-E1	2024-04-03	56	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-091	2023-12-28	yes	Culi	1	1	HDZ-091-E1	2024-04-03	52	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-092	2023-12-25	yes	Warble	1	1	HDZ-092-E1	2024-04-03	44	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-093	2023-12-23	yes	Warble	1	1	HDZ-093-E1	2024-04-03	25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-094	2023-11-20	yes	Culi	1	1	HDZ-094-E1	2024-04-04	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-095	2023-10-26	yes	Warble	1	1	HDZ-095-E1	2024-08-26	27	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-096	2023-12-27	yes	Warble	1	1	HDZ-096-E1	2024-04-04	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-097	2023-12-25	yes	Culi	1	1	HDZ-097-E1	2024-04-04	83	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-098	2023-12-22	yes	Culi	1	1	HDZ-098-E1	2024-04-04	47	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-099	2023-12-21	yes	Warble	1	1	HDZ-099-E1	2024-04-04	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-101	2023-12-24	yes	Warble	1	1	HDZ-101-E1	2024-04-04	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-102	2023-12-23	no	Culi	1	1	HDZ-102-E1	2024-04-04	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-103	2023-12-22	yes	Warble	1	1	HDZ-103-E1	2024-04-04	46	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-104	2023-11-20	yes	Warble	1	1	HDZ-104-E1	2024-04-08	26	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-105	2023-12-28	yes	Warble	1	1	HDZ-105-E1	2024-04-08	39	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-106	2024-01-01	yes	Warble	1	1	HDZ-106-E1	2024-04-08	40	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-107	2024-01-02	yes	Warble	1	1	HDZ-107-E1	2024-04-08	17	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-108	2023-12-27	yes	Culi	1	1	HDZ-108-E1	2024-04-08	21	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-109	2023-12-31	yes	Warble	1	1	HDZ-109-E1	2024-04-08	43	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-155	2023-12-15	yes	Warble	1	1	HDZ-155-E1	2024-04-09	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-156	2023-12-15	yes	Culi	1	1	HDZ-156-E1	2024-04-09	25	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-157	2023-12-14	yes	Warble	1	1	HDZ-157-E1	2024-04-09	57	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-158	2024-07-16	no	Warble	1	1	HDZ-158-E1	2024-08-27	39	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-159	2024-07-02	yes	Warble	1	1	HDZ-159-E1	2024-08-27	22	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-160	2024-06-10	yes	Warble	1	1	HDZ-160-E1	2024-07-26	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-161	2023-12-16	yes	Warble	1	1	HDZ-161-E1	2024-04-09	34	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-162	2023-12-17	yes	Warble	1	1	HDZ-162-E1	2024-04-09	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-163	2023-12-19	yes	Culi	1	1	HDZ-163-E1	2024-04-09	40	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-164	2024-06-13	yes	Warble	1	1	HDZ-164-E1	2024-07-26	18	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-165	2024-05-14	yes	Warble	1	1	HDZ-165-E1	2024-07-26	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-166	2024-05-14	yes	Culi	1	1	HDZ-166-E1	2024-07-26	9.1	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-167	2023-12-14	yes	Culi	1	1	HDZ-167-E1	2024-04-09	75	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-168	2023-12-17	yes	Culi	1	1	HDZ-168-E1	2024-04-09	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-169	2023-12-18	yes	Culi	1	1	HDZ-169-E1	2024-04-09	45	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-170	2023-12-18	yes	Warble	1	1	HDZ-170-E1	2024-04-09	46	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-171	2024-06-28	yes	Warble	1	1	HDZ-171-E1	2024-08-27	32	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-172	2024-06-29	yes	Warble	1	1	HDZ-172-E1	2024-08-27	76	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6	
HDZ-173	2023-12-14	yes	Warble	1	1	HDZ-173-E1	2024-04-09	53	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-174	2023-12-16	yes	Culi	1	1	HDZ-174-E1	2024-04-09	52	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-175	2023-12-13	yes	Culi	1	1	HDZ-175-E1	2024-04-15	22	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-176	2023-12-09	yes	Culi	1	1	HDZ-176-E1	2024-04-15	7.7	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-177	2023-12-13	yes	Warble	1	1	HDZ-177-E1	2024-04-15	4.9	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-178	2024-06-20	yes	Warble	1	1	HDZ-178-E1	2024-07-26	60	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-179	2023-12-11	yes	Culi	1	1	HDZ-179-E1	2024-04-15	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-180	2023-12-12	yes	Culi	1	1	HDZ-180-E1	2024-04-15	26	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-181	2023-12-10	yes	Culi	1	1	HDZ-181-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-182	2023-12-08	yes	Culi	1	1	HDZ-182-E1	2024-04-15	13	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-183	2023-12-07	yes	Warble	1	1	HDZ-183-E1	2024-04-15	41	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-184	2023-12-07	yes	Culi	1	1	HDZ-184-E1	2024-04-15	53	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-186	2023-12-06	yes	Warble	1	1	HDZ-186-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-187	2023-12-06	yes	Culi	1	1	HDZ-187-E1	2024-04-15	32	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-188	2023-12-05	yes	Warble	1	1	HDZ-188-E1	2024-04-15	24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-189	2024-06-06	yes	Warble	1	1	HDZ-189-E1	2024-07-26	68	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-190	2024-01-06	yes	Culi	1	1	HDZ-190-E1	2024-04-15	20	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-191	2024-01-07	yes	Warble	1	1	HDZ-191-E1	2024-04-15	18	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-192	2024-01-07	yes	Culi	1	1	HDZ-192-E1	2024-04-15	33	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-193	2024-01-06	yes	Warble	1	1	HDZ-193-E1	2024-05-20	26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-194	2024-02-02	yes	Warble	1	1	HDZ-194-E1	2024-05-20	53	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-195	2023-12-09	yes	Warble	1	1	HDZ-195-E1	2024-05-20	61	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-196	2024-02-05	yes	Culi	1	1	HDZ-196-E1	2024-05-20	33	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-197	2024-02-04	yes	Culi	1	1	HDZ-197-E1	2024-05-20	58	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-198	2024-02-08	yes	Culi	1	1	HDZ-198-E1	2024-05-20	70	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-199	2024-02-06	yes	Warble	1	1	HDZ-199-E1	2024-05-20	52	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-200	2024-02-03	yes	Warble	1	1	HDZ-200-E1	2024-05-30	36	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-201	2024-02-03	yes	Culi	1	1	HDZ-201-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-202	2024-01-27	yes	Culi	1	1	HDZ-202-E1	2024-05-30	100	SA/ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-203	2024-01-26	yes	Culi	1	1	HDZ-203-E1	2024-06-13	70	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-204	2024-01-29	yes	Culi	1	1	HDZ-204-E1	2024-06-13	43	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-205	2024-01-29	yes	Warble	1	1	HDZ-205-E1	2024-06-13	21	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-206	2024-01-30	no	Unknown	1	1	HDZ-206-E1	2024-06-13	48	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-207	2024-01-27	yes	Warble	1	1	HDZ-207-E1	2024-06-13	12	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-208	2024-01-30	yes	Warble	1	1	HDZ-208-E1	2024-06-13	11	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
HDZ-209	2024-01-26	yes	Warble	1	1	HDZ-209-E1	2024-06-06	40	AS	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 3	
