SampleID	CollectionDate	Subj_Certainty	Subject	n_16s_extract	n_16s_sample	ExtractID	ExtractDate	ExtractConc	ExtractedBy	ExtractKit	ExtractBox	ExtractNotes
HDZ-001	2023-11-04	yes	Warble	1	1	HDZ-001-E1	2024-07-26	39	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4	
HDZ-002	2023-11-01	yes	Warble	1	1	HDZ-002-E1	2024-02-12	40	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-004	2023-10-28	yes	Warble	1	1	HDZ-004-E1	2023-11-03	55	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-005	2023-10-27	yes	Warble	1	1	HDZ-005-E1	2023-11-03	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-010	2023-10-31	yes	Culi	1	1	HDZ-010-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-011	2023-10-29	yes	Culi	1	1	HDZ-011-E1	2023-11-10	45	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-012	2023-11-08	yes	Culi	0	0	HDZ-012-E1	2024-02-12	0	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	DNA conc lower than std
HDZ-013	2023-10-26	yes	Culi	1	1	HDZ-013-E1	2023-11-10	42	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-014	2023-10-27	yes	Culi	1	1	HDZ-014-E1	2023-11-10	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-015	2023-10-30	yes	Warble	1	1	HDZ-015-E1	2023-11-15	7.1	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-016	2023-11-01	yes	Culi	1	1	HDZ-016-E1	2024-01-17	22	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-018	2023-10-30	yes	Culi	1	1	HDZ-018-E1	2023-11-15	9.3	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-019	2023-10-29	yes	Warble	1	1	HDZ-019-E1	2023-11-15	22	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-020	2023-11-04	yes	Culi	1	1	HDZ-020-E1	2024-01-10	15	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-021	2023-10-28	yes	Culi	1	1	HDZ-021-E1	2024-01-10	19	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-022	2023-11-03	yes	Culi	1	1	HDZ-022-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-023	2023-11-03	yes	Warble	1	1	HDZ-023-E1	2024-01-17	29	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-024	2023-11-02	yes	Culi	1	1	HDZ-024-E1	2024-01-17	23	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-025	2023-10-31	yes	Warble	1	1	HDZ-025-E1	2024-01-10	24	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-026	2023-11-02	yes	Culi	1	1	HDZ-026-E1	2024-01-17	28	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-027	2023-11-05	yes	Warble	1	1	HDZ-027-E1	2024-01-10	11	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-028	2023-11-05	yes	Culi	2	2	HDZ-028-E1	2024-01-10	20	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-029	2023-11-02	no	Unknown	1	1	HDZ-029-E1	2024-01-10	12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-030	2023-11-06	yes	Warble	2	2	HDZ-030-E1	2024-01-17	21	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-031	2023-11-10	yes	Warble	0	0	HDZ-031-E1	2024-02-12	56	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-032	2023-11-11	yes	Culi	1	1	HDZ-032-E1	2024-02-12	93	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-033	2023-11-11	yes	Warble	1	1	HDZ-033-E1	2024-02-12	86	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-034	2023-11-12	yes	Warble	1	1	HDZ-034-E1	2024-02-12	89	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-035	2023-11-06	yes	Culi	1	1	HDZ-035-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-036	2023-11-09	yes	Warble	1	1	HDZ-036-E1	2024-04-08	29	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-037	2023-11-10	yes	Culi	1	1	HDZ-037-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-038	2023-11-12	yes	Culi	1	1	HDZ-038-E1	2024-01-06	90	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-039	2023-11-14	yes	Culi	1	1	HDZ-039-E1	2024-01-24	11	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-040	2023-11-09	yes	Culi	1	1	HDZ-040-E1	2024-02-12	83	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-041	2023-11-13	yes	Warble	1	1	HDZ-041-E1	2024-02-12	15	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-042	2023-11-13	yes	Culi	1	1	HDZ-042-E1	2024-02-12	67	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-043	2023-11-17	yes	Culi	0	0	HDZ-043-E1	2024-01-24	0	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-044	2023-11-19	no	Warble	1	1	HDZ-044-E1	2024-02-12	97	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-045	2023-11-07	yes	Warble	1	1	HDZ-045-E1	2024-04-08	7.2	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	
HDZ-046	2023-11-14	yes	Culi	1	1	HDZ-046-E1	2024-01-06	6.3	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
HDZ-047	2023-11-15	yes	Culi	1	1	HDZ-047-E1	2024-02-12	94	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	
