"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-013"	"HDZ-013-E1"	"HDZ-013-S8"	"sample extracted and sequenced"	"hdz1"	8	8	2	30	18	2.13	26750	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	42	"HDZ Keepers"	""	2023-10-26	"Culi"	"yes"
"HDZ-095"	"HDZ-095-E1"	"HDZ-095-S300"	"sample extracted and sequenced"	"hdz14"	1	1	NA	NA	NA	NA	13793	"AVP124"	"PL014"	"PL14"	2024-09-06	2024-09-06 18:04:40.927986	"loris"	2024-09-06	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-08-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 6"	""	27	"HDZ Keepers"	""	2023-10-26	"Warble"	"yes"
"HDZ-014"	"HDZ-014-E1"	"HDZ-014-S18"	"sample extracted and sequenced"	"hdz1"	18	18	2	30	18	1.89	26708	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	""	2023-10-27	"Culi"	"yes"
"HDZ-005"	"HDZ-005-E1"	"HDZ-005-S11"	"sample extracted and sequenced"	"hdz1"	11	11	2	30	18	1.78	25576	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	24	"HDZ Keepers"	"Suspected date of conception"	2023-10-27	"Warble"	"yes"
"HDZ-021"	"HDZ-021-E1"	"HDZ-021-S7"	"sample extracted and sequenced"	"hdz1"	7	7	1	30	18	2.93	14316	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	19	"HDZ Keepers"	""	2023-10-28	"Culi"	"yes"
"HDZ-004"	"HDZ-004-E1"	"HDZ-004-S3"	"sample extracted and sequenced"	"hdz1"	3	3	0	30	18	8.5	6796	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	55	"HDZ Keepers"	"Vaginal closure began"	2023-10-28	"Warble"	"yes"
"HDZ-011"	"HDZ-011-E1"	"HDZ-011-S10"	"sample extracted and sequenced"	"hdz1"	10	10	1	30	18	6.3	7880	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	45	"HDZ Keepers"	""	2023-10-29	"Culi"	"yes"
"HDZ-019"	"HDZ-019-E1"	"HDZ-019-S13"	"sample extracted and sequenced"	"hdz1"	13	13	2	30	18	2.67	19320	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	"Complete vaginal closure"	2023-10-29	"Warble"	"yes"
"HDZ-018"	"HDZ-018-E1"	"HDZ-018-S30"	"sample extracted and sequenced"	"hdz2"	7	7	1	41	24.6	6	676	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	9.3	"HDZ Keepers"	""	2023-10-30	"Culi"	"yes"
"HDZ-015"	"HDZ-015-E1"	"HDZ-015-S28"	"sample extracted and sequenced"	"hdz2"	5	5	2	41	24.6	1.73	599	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	7.1	"HDZ Keepers"	""	2023-10-30	"Warble"	"yes"
"HDZ-010"	"HDZ-010-E1"	"HDZ-010-S23"	"sample extracted and sequenced"	"hdz1"	23	23	1	30	18	3.91	16068	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-10-31	"Culi"	"yes"
"HDZ-025"	"HDZ-025-E1"	"HDZ-025-S17"	"sample extracted and sequenced"	"hdz1"	17	17	2	30	18	2.39	20610	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	24	"HDZ Keepers"	""	2023-10-31	"Warble"	"yes"
"HDZ-016"	"HDZ-016-E1"	"HDZ-016-S21"	"sample extracted and sequenced"	"hdz1"	21	21	1	30	18	2.83	16345	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	""	2023-11-01	"Culi"	"yes"
"HDZ-002"	"HDZ-002-E1"	"HDZ-002-S93"	"sample extracted and sequenced"	"hdz5"	1	1	2	NA	NA	1.9	10444	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544	"loris"	2024-07-17	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	40	"HDZ Keepers"	""	2023-11-01	"Warble"	"yes"
