"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-026"	"HDZ-026-E1"	"HDZ-026-S15"	"sample extracted and sequenced"	"hdz1"	15	15	1	30	18	3.05	15448	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	28	"HDZ Keepers"	""	2023-11-02	"Culi"	"yes"
"HDZ-024"	"HDZ-024-E1"	"HDZ-024-S19"	"sample extracted and sequenced"	"hdz1"	19	19	0	30	18	8.7	9525	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	23	"HDZ Keepers"	""	2023-11-02	"Culi"	"yes"
"HDZ-029"	"HDZ-029-E1"	"HDZ-029-S14"	"sample extracted and sequenced"	"hdz1"	14	14	1	30	18	3.69	12471	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	12	"HDZ Keepers"	""	2023-11-02	"Unknown"	"no"
"HDZ-022"	"HDZ-022-E1"	"HDZ-022-S31"	"sample extracted and sequenced"	"hdz2"	8	8	1	41	24.6	5.7	1158	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-11-03	"Culi"	"yes"
"HDZ-023"	"HDZ-023-E1"	"HDZ-023-S20"	"sample extracted and sequenced"	"hdz1"	20	20	1	30	18	5.6	8841	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	29	"HDZ Keepers"	""	2023-11-03	"Warble"	"yes"
"HDZ-020"	"HDZ-020-E1"	"HDZ-020-S12"	"sample extracted and sequenced"	"hdz1"	12	12	2	30	18	2.27	23963	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	15	"HDZ Keepers"	""	2023-11-04	"Culi"	"yes"
"HDZ-001"	"HDZ-001-E1"	"HDZ-001-S231"	"sample extracted and sequenced"	"hdz11"	1	1	NA	NA	NA	NA	15054	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 4"	""	39	"HDZ Keepers"	""	2023-11-04	"Warble"	"yes"
"HDZ-028"	"HDZ-028-E1"	"HDZ-028-S16"	"sample extracted and sequenced"	"hdz1"	16	16	1	30	18	7	8057	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	20	"HDZ Keepers"	""	2023-11-05	"Culi"	"yes"
"HDZ-028"	"HDZ-028-E1"	"HDZ-028-S36"	"sample extracted and sequenced"	"hdz2"	13	13	1	41	24.6	5.3	1958	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	20	"HDZ Keepers"	""	2023-11-05	"Culi"	"yes"
"HDZ-027"	"HDZ-027-E1"	"HDZ-027-S32"	"sample extracted and sequenced"	"hdz2"	9	9	1	41	24.6	3.99	441	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-11-05	"Warble"	"yes"
"HDZ-035"	"HDZ-035-E1"	"HDZ-035-S185"	"sample extracted and sequenced"	"hdz9"	1	1	NA	NA	NA	NA	11854	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	94	"HDZ Keepers"	""	2023-11-06	"Culi"	"yes"
"HDZ-030"	"HDZ-030-E1"	"HDZ-030-S6"	"sample extracted and sequenced"	"hdz1"	6	6	1	30	18	6.6	9198	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	21	"HDZ Keepers"	""	2023-11-06	"Warble"	"yes"
"HDZ-030"	"HDZ-030-E1"	"HDZ-030-S37"	"sample extracted and sequenced"	"hdz2"	14	14	1	41	24.6	3.83	1646	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	21	"HDZ Keepers"	""	2023-11-06	"Warble"	"yes"
"HDZ-045"	"HDZ-045-E1"	"HDZ-045-S49"	"sample extracted and sequenced"	"hdz3"	3	3	3	60	36	1.47	3140	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-08	"WJ/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	7.2	"HDZ Keepers"	""	2023-11-07	"Warble"	"yes"
"HDZ-012"	"HDZ-012-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	"DNA conc lower than std"	0	"HDZ Keepers"	""	2023-11-08	"Culi"	"yes"
"HDZ-050"	"HDZ-050-E1"	"HDZ-050-S232"	"sample extracted and sequenced"	"hdz11"	2	2	NA	NA	NA	NA	14207	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	56	"HDZ Keepers"	""	2023-11-08	"Warble"	"yes"
"HDZ-040"	"HDZ-040-E1"	"HDZ-040-S187"	"sample extracted and sequenced"	"hdz9"	3	3	NA	NA	NA	NA	15664	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	83	"HDZ Keepers"	""	2023-11-09	"Culi"	"yes"
"HDZ-036"	"HDZ-036-E1"	"HDZ-036-S94"	"sample extracted and sequenced"	"hdz5"	2	2	4	NA	NA	1	6858	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544	"loris"	2024-07-17	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-08	"WJ/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	29	"HDZ Keepers"	""	2023-11-09	"Warble"	"yes"
"HDZ-037"	"HDZ-037-E1"	"HDZ-037-S186"	"sample extracted and sequenced"	"hdz9"	2	2	NA	NA	NA	NA	6397	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	94	"HDZ Keepers"	""	2023-11-10	"Culi"	"yes"
"HDZ-031"	"HDZ-031-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	56	"HDZ Keepers"	""	2023-11-10	"Warble"	"yes"
"HDZ-032"	"HDZ-032-E1"	"HDZ-032-S46"	"sample extracted and sequenced"	"hdz2"	24	24	1	41	24.6	2.89	105	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	93	"HDZ Keepers"	""	2023-11-11	"Culi"	"yes"
"HDZ-033"	"HDZ-033-E1"	"HDZ-033-S43"	"sample extracted and sequenced"	"hdz2"	21	21	2	41	24.6	1.48	9	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	86	"HDZ Keepers"	""	2023-11-11	"Warble"	"yes"
"HDZ-038"	"HDZ-038-E1"	"HDZ-038-S45"	"sample extracted and sequenced"	"hdz2"	23	23	2	41	24.6	0.672	1977	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-06	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	90	"HDZ Keepers"	""	2023-11-12	"Culi"	"yes"
"HDZ-034"	"HDZ-034-E1"	"HDZ-034-S44"	"sample extracted and sequenced"	"hdz2"	22	22	2	41	24.6	0.776	4484	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	89	"HDZ Keepers"	""	2023-11-12	"Warble"	"yes"
"HDZ-042"	"HDZ-042-E1"	"HDZ-042-S188"	"sample extracted and sequenced"	"hdz9"	4	4	NA	NA	NA	NA	5966	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	67	"HDZ Keepers"	""	2023-11-13	"Culi"	"yes"
"HDZ-052"	"HDZ-052-E1"	"HDZ-052-S50"	"sample extracted and sequenced"	"hdz3"	4	4	2	60	36	2.19	3285	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-08	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	7.5	"HDZ Keepers"	""	2023-11-13	"Warble"	"yes"
"HDZ-041"	"HDZ-041-E1"	"HDZ-041-S53"	"sample extracted and sequenced"	"hdz3"	7	7	3	60	36	1.43	2777	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	15	"HDZ Keepers"	""	2023-11-13	"Warble"	"yes"
"HDZ-039"	"HDZ-039-E1"	"HDZ-039-S33"	"sample extracted and sequenced"	"hdz2"	10	10	1	41	24.6	7	2551	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-24	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-11-14	"Culi"	"yes"
"HDZ-046"	"HDZ-046-E1"	"HDZ-046-S48"	"sample extracted and sequenced"	"hdz3"	2	2	6	60	36	0.701	881	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-06	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	6.3	"HDZ Keepers"	""	2023-11-14	"Culi"	"yes"
"HDZ-051"	"HDZ-051-E1"	"HDZ-051-S54"	"sample extracted and sequenced"	"hdz3"	8	8	1	60	36	5.4	4318	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-06	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	17	"HDZ Keepers"	""	2023-11-14	"Warble"	"yes"
"HDZ-047"	"HDZ-047-E1"	"HDZ-047-S190"	"sample extracted and sequenced"	"hdz9"	6	6	NA	NA	NA	NA	11592	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	94	"HDZ Keepers"	""	2023-11-15	"Culi"	"yes"
"HDZ-048"	"HDZ-048-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	0	"HDZ Keepers"	""	2023-11-16	"Warble"	"yes"
"HDZ-043"	"HDZ-043-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-01-24	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	0	"HDZ Keepers"	""	2023-11-17	"Culi"	"yes"
