Run ID,Pooled Library Code,Pooled Library ID,Flow Cell Loaded By,Flow Cell ID,Flow Cell Type,Sequencer,MinION Position,Flongle Adapter,Kit,Run Date,Pipeline,Run Notes
MIN_16_2024-8-21,PL010,16S_HDZ-PL-010,TSP,AVN953,FLO-FLG114,Spike-MinION,MN43606,FA-09291,SQK-16S114-24,8/21/2024,16S,
MIN_16_2024-8-21,PL011,16S_HDZ-PL-011,SA,AXK913,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,8/21/2024,16S,
MIN_16_2024-8-30,PL012,16S_HDZ-PL-012,TSP,AVN769,FLO-FLG114,Spike-MinION,MN43606,FA-09291,SQK-16S114-24,8/30/2024,16S,
MIN_16_2024-8-30,PL013,16S_HDZ-PL-013,SA,AVP114,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,8/30/2024,16S,
MIN_MT_2024-9-5,HDZ-mt5,LSK-HDZ-197,SA,AVP715,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-LSK114,9/5/2024,Host mtDNA,
MIN_16_2024-9-6,PL014,16S_HDZ-PL-014,TSP,AVP124,FLO-FLG114,Spike-MinION,MN43606,FA-09291,SQK-16S114-24,9/6/2024,16S,
MIN_16_2024-9-9,PL015,16S_HDZ-PL-015,TSP,AVN883,FLO-FLG114,Spike-MinION,MN43606,FA-09291,SQK-16S114-24,9/9/2024,16S,
MIN_16_2024-9-20,PL016,16S_HDZ-PL-016,TSP,AVU071,FLO-FLG114,Spike-MinION,MN43606,FA-09291,SQK-16S114-24,9/20/2024,16S,
MIN_16_2024-10-25,PL017,16S_HDZ-PL-017,TSP,AWD070,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,10/25/2024,16S,
MIN_16_2024-10-29,PL018,16S_HDZ-PL-018,TSP,AWC828,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,10/29/2024,16S,
