LibraryTube	ExtractID	SequenceID	LibPrepDate	Pipeline	LibraryBarcode	LibraryFinalConc	LibraryCode	LibraryPoolVol_ul
10	HDZ-386-E1	HDZ-386-S263	2024-08-30	rapid16s	16S10		PL012	NA
11	HDZ-387-E1	HDZ-387-S264	2024-08-30	rapid16s	16S11		PL012	NA
12	HDZ-388-E1	HDZ-388-S265	2024-08-30	rapid16s	16S12		PL012	NA
13	HDZ-389-E1	HDZ-389-S266	2024-08-30	rapid16s	16S13		PL012	NA
14	HDZ-390-E1	HDZ-390-S267	2024-08-30	rapid16s	16S14		PL012	NA
15	HDZ-391-E1	HDZ-391-S268	2024-08-30	rapid16s	16S15		PL012	NA
16	HDZ-392-E1	HDZ-392-S269	2024-08-30	rapid16s	16S16		PL012	NA
17	HDZ-393-E1	HDZ-393-S270	2024-08-30	rapid16s	16S17		PL012	NA
18	HDZ-394-E1	HDZ-394-S271	2024-08-30	rapid16s	16S18		PL012	NA
19	HDZ-395-E1	HDZ-395-S272	2024-08-30	rapid16s	16S19		PL012	NA
20	HDZ-396-E1	HDZ-396-S273	2024-08-30	rapid16s	16S20		PL012	NA
21	HDZ-397-E1	HDZ-397-S274	2024-08-30	rapid16s	16S21		PL012	NA
7	HDZ-398-E1	HDZ-398-S329	2024-09-09	rapid16s	16S7		PL015	NA
8	HDZ-399-E1	HDZ-399-S330	2024-09-09	rapid16s	16S8		PL015	NA
9	HDZ-400-E1	HDZ-400-S331	2024-09-09	rapid16s	16S9		PL015	NA
10	HDZ-401-E1	HDZ-401-S332	2024-09-09	rapid16s	16S10		PL015	NA
11	HDZ-402-E1	HDZ-402-S333	2024-09-09	rapid16s	16S11		PL015	NA
12	HDZ-403-E1	HDZ-403-S334	2024-09-09	rapid16s	16S12		PL015	NA
13	HDZ-405-E1	HDZ-405-S335	2024-09-09	rapid16s	16S13		PL015	NA
14	HDZ-406-E1	HDZ-406-S336	2024-09-09	rapid16s	16S14		PL015	NA
15	HDZ-407-E1	HDZ-407-S337	2024-09-09	rapid16s	16S15		PL015	NA
16	HDZ-408-E1	HDZ-408-S338	2024-09-09	rapid16s	16S16		PL015	NA
17	HDZ-409-E1	HDZ-409-S339	2024-09-09	rapid16s	16S17		PL015	NA
4	HDZ-410-E1	HDZ-410-E1-S349	2024-09-20	rapid16s	16S4		PL016	NA
5	HDZ-411-E1	HDZ-411-E1-S350	2024-09-20	rapid16s	16S5		PL016	NA
20	HDZ-412-E1	HDZ-412-S319	2024-09-06	rapid16s	16S20		PL014	NA
21	HDZ-413-E1	HDZ-413-S320	2024-09-06	rapid16s	16S21		PL014	NA
22	HDZ-414-E1	HDZ-414-S321	2024-09-06	rapid16s	16S22		PL014	NA
22	HDZ-415-E1	HDZ-415-S206	2024-08-16	rapid16s	16S22		PL009	NA
13	HDZ-416-E1	HDZ-416-S220	2024-08-21	rapid16s	16S13		PL010	NA
14	HDZ-417-E1	HDZ-417-S221	2024-08-21	rapid16s	16S14		PL010	NA
6	HDZ-418-E1	HDZ-418-E1-S351	2024-09-20	rapid16s	16S6		PL016	NA
7	HDZ-419-E1	HDZ-419-E1-S352	2024-09-20	rapid16s	16S7		PL016	NA
23	HDZ-420-E1	HDZ-420-S207	2024-08-16	rapid16s	16S23		PL009	NA
15	HDZ-421-E1	HDZ-421-S222	2024-08-21	rapid16s	16S15		PL010	NA
15	HDZ-422-E1	HDZ-422-S291	2024-08-30	rapid16s	16S15		PL013	NA
16	HDZ-423-E1	HDZ-423-S223	2024-08-21	rapid16s	16S16		PL010	NA
17	HDZ-424-E1	HDZ-424-S224	2024-08-21	rapid16s	16S17		PL010	NA
18	HDZ-425-E1	HDZ-425-S225	2024-08-21	rapid16s	16S18		PL010	NA
19	HDZ-426-E1	HDZ-426-S226	2024-08-21	rapid16s	16S19		PL010	NA
8	HDZ-427-E1	HDZ-427-E1-S353	2024-09-20	rapid16s	16S8		PL016	NA
9	HDZ-428-E1	HDZ-428-E1-S354	2024-09-20	rapid16s	16S9		PL016	NA
10	HDZ-429-E1	HDZ-429-E1-S355	2024-09-20	rapid16s	16S10		PL016	NA
16	HDZ-430-E1	HDZ-430-S292	2024-08-30	rapid16s	16S16		PL013	NA
20	HDZ-431-E1	HDZ-431-S227	2024-08-21	rapid16s	16S20		PL010	NA
21	HDZ-432-E1	HDZ-432-S228	2024-08-21	rapid16s	16S21		PL010	NA
22	HDZ-433-E1	HDZ-433-S229	2024-08-21	rapid16s	16S22		PL010	NA
23	HDZ-434-E1	HDZ-434-S230	2024-08-21	rapid16s	16S23		PL010	NA
11	HDZ-435-E1	HDZ-435-E1-S356	2024-09-20	rapid16s	16S11		PL016	NA
12	HDZ-436-E1	HDZ-436-E1-S357	2024-09-20	rapid16s	16S12		PL016	NA
23	HDZ-437-E1	HDZ-437-S253	2024-08-21	rapid16s	16S23		PL011	NA
22	HDZ-438-E1	HDZ-438-S275	2024-08-30	rapid16s	16S22		PL012	NA
23	HDZ-439-E1	HDZ-439-S276	2024-08-30	rapid16s	16S23		PL012	NA
17	HDZ-440-E1	HDZ-440-S293	2024-08-30	rapid16s	16S17		PL013	NA
18	HDZ-441-E1	HDZ-441-S340	2024-09-09	rapid16s	16S18		PL015	NA
18	HDZ-442-E1	HDZ-442-S294	2024-08-30	rapid16s	16S18		PL013	NA
19	HDZ-443-E1	HDZ-443-S295	2024-08-30	rapid16s	16S19		PL013	NA
20	HDZ-444-E1	HDZ-444-S296	2024-08-30	rapid16s	16S20		PL013	NA
21	HDZ-445-E1	HDZ-445-S297	2024-08-30	rapid16s	16S21		PL013	NA
19	HDZ-446-E1	HDZ-446-S341	2024-09-09	rapid16s	16S19		PL015	NA
20	HDZ-447-E1	HDZ-447-S342	2024-09-09	rapid16s	16S20		PL015	NA
22	HDZ-448-E1	HDZ-448-S298	2024-08-30	rapid16s	16S22		PL013	NA
23	HDZ-449-E1	HDZ-449-S299	2024-08-30	rapid16s	16S23		PL013	NA
23	HDZ-450-E1	HDZ-450-S322	2024-09-06	rapid16s	16S23		PL014	NA
21	HDZ-451-E1	HDZ-451-S343	2024-09-09	rapid16s	16S21		PL015	NA
22	HDZ-452-E1	HDZ-452-S344	2024-09-09	rapid16s	16S22		PL015	NA
23	HDZ-453-E1	HDZ-453-S345	2024-09-09	rapid16s	16S23		PL015	NA
13	HDZ-454-E1	HDZ-454-E1-S358	2024-09-20	rapid16s	16S13		PL016	NA
14	HDZ-455-E1	HDZ-455-E1-S359	2024-09-20	rapid16s	16S14		PL016	NA
15	HDZ-456-E1	HDZ-456-E1-S360	2024-09-20	rapid16s	16S15		PL016	NA
16	HDZ-457-E1	HDZ-457-E1-S361	2024-09-20	rapid16s	16S16		PL016	NA
17	HDZ-458-E1	HDZ-458-E1-S362	2024-09-20	rapid16s	16S17		PL016	NA
18	HDZ-459-E1	HDZ-459-E1-S363	2024-09-20	rapid16s	16S18		PL016	NA
19	HDZ-460-E1	HDZ-460-E1-S364	2024-09-20	rapid16s	16S19		PL016	NA
1	HDZ-461-E1	HDZ-461-S369	2024-10-25	rapid16s	16S1		PL017	NA
2	HDZ-462-E1	HDZ-462-S370	2024-10-25	rapid16s	16S2		PL017	NA
3	HDZ-463-E1	HDZ-463-S371	2024-10-25	rapid16s	16S3		PL017	NA
4	HDZ-464-E1	HDZ-464-S372	2024-10-25	rapid16s	16S4		PL017	NA
5	HDZ-465-E1	HDZ-465-S373	2024-10-25	rapid16s	16S5		PL017	NA
6	HDZ-466-E1	HDZ-466-S374	2024-10-25	rapid16s	16S6		PL017	NA
20	HDZ-467-E1	HDZ-467-E1-S365	2024-09-20	rapid16s	16S20		PL016	NA
21	HDZ-468-E1	HDZ-468-E1-S366	2024-09-20	rapid16s	16S21		PL016	NA
22	HDZ-469-E1	HDZ-469-E1-S367	2024-09-20	rapid16s	16S22		PL016	NA
23	HDZ-470-E1	HDZ-470-E1-S368	2024-09-20	rapid16s	16S23		PL016	NA
7	HDZ-473-E1	HDZ-473-S375	2024-10-25	rapid16s	16S7		PL017	NA
8	HDZ-474-E1	HDZ-474-S376	2024-10-25	rapid16s	16S8		PL017	NA
9	HDZ-475-E1	HDZ-475-S377	2024-10-25	rapid16s	16S9		PL017	NA
10	HDZ-476-E1	HDZ-476-S378	2024-10-25	rapid16s	16S10		PL017	NA
11	HDZ-477-E1	HDZ-477-S379	2024-10-25	rapid16s	16S11		PL017	NA
12	HDZ-478-E1	HDZ-478-S380	2024-10-25	rapid16s	16S12		PL017	NA
13	HDZ-479-E1	HDZ-479-S381	2024-10-25	rapid16s	16S13		PL017	NA
14	HDZ-480-E1	HDZ-480-S382	2024-10-25	rapid16s	16S14		PL017	NA
15	HDZ-481-E1	HDZ-481-S383	2024-10-25	rapid16s	16S15		PL017	NA
16	HDZ-482-E1	HDZ-482-S384	2024-10-25	rapid16s	16S16		PL017	NA
17	HDZ-483-E1	HDZ-483-S385	2024-10-25	rapid16s	16S17		PL017	NA
18	HDZ-484-E1	HDZ-484-S386	2024-10-25	rapid16s	16S18		PL017	NA
19	HDZ-485-E1	HDZ-485-S387	2024-10-25	rapid16s	16S19		PL017	NA
20	HDZ-486-E1	HDZ-486-S388	2024-10-25	rapid16s	16S20		PL017	NA
21	HDZ-487-E1	HDZ-487-S389	2024-10-25	rapid16s	16S21		PL017	NA
22	HDZ-488-E1	HDZ-488-S390	2024-10-25	rapid16s	16S22		PL017	NA
23	HDZ-489-E1	HDZ-489-S391	2024-10-25	rapid16s	16S23		PL017	NA
1	HDZ-490-E1	HDZ-490-S392	2024-10-29	rapid16s	16S1		PL018	NA
2	HDZ-491-E1	HDZ-491-S393	2024-10-29	rapid16s	16S2		PL018	NA
3	HDZ-492-E1	HDZ-492-S394	2024-10-29	rapid16s	16S3		PL018	NA
4	HDZ-493-E1	HDZ-493-S395	2024-10-29	rapid16s	16S4		PL018	NA
5	HDZ-494-E1	HDZ-494-S396	2024-10-29	rapid16s	16S5		PL018	NA
6	HDZ-495-E1	HDZ-495-S397	2024-10-29	rapid16s	16S6		PL018	NA
7	HDZ-496-E1	HDZ-496-S398	2024-10-29	rapid16s	16S7		PL018	NA
8	HDZ-497-E1	HDZ-497-S399	2024-10-29	rapid16s	16S8		PL018	NA
9	HDZ-498-E1	HDZ-498-S400	2024-10-29	rapid16s	16S9		PL018	NA
10	HDZ-499-E1	HDZ-499-S401	2024-10-29	rapid16s	16S10		PL018	NA
11	HDZ-500-E1	HDZ-500-S402	2024-10-29	rapid16s	16S11		PL018	NA
12	HDZ-501-E1	HDZ-501-S403	2024-10-29	rapid16s	16S12		PL018	NA
13	HDZ-502-E1	HDZ-502-S404	2024-10-29	rapid16s	16S13		PL018	NA
14	HDZ-503-E1	HDZ-503-S405	2024-10-29	rapid16s	16S14		PL018	NA
15	HDZ-504-E1	HDZ-504-S406	2024-10-29	rapid16s	16S15		PL018	NA
16	HDZ-506-E1	HDZ-506-S407	2024-10-29	rapid16s	16S16		PL018	NA
17	HDZ-507-E1	HDZ-507-S408	2024-10-29	rapid16s	16S17		PL018	NA
18	HDZ-508-E1	HDZ-508-S409	2024-10-29	rapid16s	16S18		PL018	NA
19	HDZ-509-E1	HDZ-509-S410	2024-10-29	rapid16s	16S19		PL018	NA
20	HDZ-510-E1	HDZ-510-S411	2024-10-29	rapid16s	16S20		PL018	NA
21	HDZ-517-E1	HDZ-517-S412	2024-10-29	rapid16s	16S21		PL018	NA
22	HDZ-522-E1	HDZ-522-S413	2024-10-29	rapid16s	16S22		PL018	NA
23	HDZ-525-E1	HDZ-525-S414	2024-10-29	rapid16s	16S23		PL018	NA
