LibraryTube	ExtractID	SequenceID	LibPrepDate	Pipeline	LibraryBarcode	LibraryFinalConc	LibraryCode	LibraryPoolVol_ul
4	HDZ-186-E1	HDZ-186-S73	2024-06-13	rapid16s	16S4	3.47	PL004	40
2	HDZ-187-E1	HDZ-187-S71	2024-06-13	rapid16s	16S2	2.38	PL004	40
16	HDZ-188-E1	HDZ-188-S62	2024-06-12	rapid16s	16S16	1.77	PL003	55
16	HDZ-189-E1	HDZ-189-S200	2024-08-16	rapid16s	16S16		PL009	NA
13	HDZ-190-E1	HDZ-190-S59	2024-06-12	rapid16s	16S13	3.55	PL003	55
10	HDZ-191-E1	HDZ-191-S56	2024-06-12	rapid16s	16S10	1.57	PL003	55
6	HDZ-192-E1	HDZ-192-S75	2024-06-13	rapid16s	16S6	3	PL004	40
1	HDZ-193-E1	HDZ-193-S70	2024-06-13	rapid16s	16S1	2.73	PL004	40
18	HDZ-194-E1	HDZ-194-S87	2024-06-13	rapid16s	16S18	1.76	PL004	40
17	HDZ-195-E1	HDZ-195-S201	2024-08-16	rapid16s	16S17		PL009	NA
7	HDZ-196-E1	HDZ-196-S76	2024-06-13	rapid16s	16S7	2.56	PL004	40
18	HDZ-197-E1	HDZ-197-S202	2024-08-16	rapid16s	16S18		PL009	NA
19	HDZ-198-E1	HDZ-198-S88	2024-06-13	rapid16s	16S19	1.98	PL004	40
17	HDZ-199-E1	HDZ-199-S86	2024-06-13	rapid16s	16S17	2.19	PL004	40
8	HDZ-200-E1	HDZ-200-S100	2024-07-17	rapid16s	16S8	1.9	PL005	61
2	HDZ-201-E1	HDZ-201-E1-S347	2024-09-20	rapid16s	16S2		PL016	NA
3	HDZ-202-E1	HDZ-202-E1-S348	2024-09-20	rapid16s	16S3		PL016	NA
19	HDZ-203-E1	HDZ-203-S203	2024-08-16	rapid16s	16S19		PL009	NA
19	HDZ-204-E1	HDZ-204-S249	2024-08-21	rapid16s	16S19		PL011	NA
9	HDZ-205-E1	HDZ-205-S101	2024-07-17	rapid16s	16S9	3.75	PL005	61
1	HDZ-206-E1	HDZ-206-S139	2024-07-22	rapid16s	16S1		PL007	NA
10	HDZ-207-E1	HDZ-207-S102	2024-07-17	rapid16s	16S10	3.36	PL005	61
11	HDZ-208-E1	HDZ-208-S103	2024-07-17	rapid16s	16S11	3.73	PL005	61
12	HDZ-209-E1	HDZ-209-S104	2024-07-17	rapid16s	16S12	1.35	PL005	61
13	HDZ-210-E1	HDZ-210-S105	2024-07-17	rapid16s	16S13	2.07	PL005	61
14	HDZ-211-E1	HDZ-211-S106	2024-07-17	rapid16s	16S14	0.976	PL005	61
20	HDZ-212-E1	HDZ-212-S250	2024-08-21	rapid16s	16S20		PL011	NA
15	HDZ-213-E1	HDZ-213-S107	2024-07-17	rapid16s	16S15	1.34	PL005	61
21	HDZ-214-E1	HDZ-214-S251	2024-08-21	rapid16s	16S21		PL011	NA
16	HDZ-215-E1	HDZ-215-S108	2024-07-17	rapid16s	16S16	1.38	PL005	61
20	HDZ-217-E1	HDZ-217-S89	2024-06-13	rapid16s	16S20	1.15	PL004	40
20	HDZ-218-E1	HDZ-218-S204	2024-08-16	rapid16s	16S20		PL009	NA
12	HDZ-219-E1	HDZ-219-S81	2024-06-13	rapid16s	16S12	4.43	PL004	40
16	HDZ-220-E1	HDZ-220-S85	2024-06-13	rapid16s	16S16	1.51	PL004	40
21	HDZ-221-E1	HDZ-221-S90	2024-06-13	rapid16s	16S21	1.64	PL004	40
17	HDZ-222-E1	HDZ-222-S109	2024-07-17	rapid16s	16S17	2.03	PL005	61
7	HDZ-223-E1	HDZ-223-S122	2024-07-18	rapid16s	16S7		PL006	NA
8	HDZ-224-E1	HDZ-224-S123	2024-07-18	rapid16s	16S8		PL006	NA
9	HDZ-226-E1	HDZ-226-S124	2024-07-18	rapid16s	16S9		PL006	NA
13	HDZ-227-E1	HDZ-227-S128	2024-07-18	rapid16s	16S13		PL006	NA
14	HDZ-228-E1	HDZ-228-S129	2024-07-18	rapid16s	16S14		PL006	NA
15	HDZ-229-E1	HDZ-229-S130	2024-07-18	rapid16s	16S15		PL006	NA
1	HDZ-230-E1	HDZ-230-S277	2024-08-30	rapid16s	16S1		PL013	NA
2	HDZ-231-E1	HDZ-231-S278	2024-08-30	rapid16s	16S2		PL013	NA
3	HDZ-232-E1	HDZ-232-S279	2024-08-30	rapid16s	16S3		PL013	NA
4	HDZ-233-E1	HDZ-233-S280	2024-08-30	rapid16s	16S4		PL013	NA
5	HDZ-234-E1	HDZ-234-S281	2024-08-30	rapid16s	16S5		PL013	NA
6	HDZ-235-E1	HDZ-235-S282	2024-08-30	rapid16s	16S6		PL013	NA
7	HDZ-236-E1	HDZ-236-S283	2024-08-30	rapid16s	16S7		PL013	NA
6	HDZ-237-E1	HDZ-237-S305	2024-09-06	rapid16s	16S6		PL014	NA
7	HDZ-238-E1	HDZ-238-S306	2024-09-06	rapid16s	16S7		PL014	NA
8	HDZ-239-E1	HDZ-239-S307	2024-09-06	rapid16s	16S8		PL014	NA
2	HDZ-240-E1	HDZ-240-S140	2024-07-22	rapid16s	16S2		PL007	NA
3	HDZ-241-E1	HDZ-241-S141	2024-07-22	rapid16s	16S3		PL007	NA
4	HDZ-242-E1	HDZ-242-S142	2024-07-22	rapid16s	16S4		PL007	NA
5	HDZ-243-E1	HDZ-243-S143	2024-07-22	rapid16s	16S5		PL007	NA
6	HDZ-244-E1	HDZ-244-S144	2024-07-22	rapid16s	16S6		PL007	NA
7	HDZ-245-E1	HDZ-245-S145	2024-07-22	rapid16s	16S7		PL007	NA
8	HDZ-246-E1	HDZ-246-S146	2024-07-22	rapid16s	16S8		PL007	NA
9	HDZ-247-E1	HDZ-247-S147	2024-07-22	rapid16s	16S9		PL007	NA
10	HDZ-248-E1	HDZ-248-S148	2024-07-22	rapid16s	16S10		PL007	NA
11	HDZ-249-E1	HDZ-249-S149	2024-07-22	rapid16s	16S11		PL007	NA
12	HDZ-250-E1	HDZ-250-S150	2024-07-22	rapid16s	16S12		PL007	NA
13	HDZ-251-E1	HDZ-251-S151	2024-07-22	rapid16s	16S13		PL007	NA
14	HDZ-252-E1	HDZ-252-S152	2024-07-22	rapid16s	16S14		PL007	NA
15	HDZ-253-E1	HDZ-253-S153	2024-07-22	rapid16s	16S15		PL007	NA
16	HDZ-254-E1	HDZ-254-S154	2024-07-22	rapid16s	16S16		PL007	NA
1	HDZ-258-E1	HDZ-258-S162	2024-08-16	rapid16s	16S1		PL008	NA
2	HDZ-259-E1	HDZ-259-S163	2024-08-16	rapid16s	16S2		PL008	NA
3	HDZ-260-E1	HDZ-260-S164	2024-08-16	rapid16s	16S3		PL008	NA
