task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
11	f5/25b33f	3620546	fastcat (7)	COMPLETED	0	2025-02-23 23:48:26.158	2.2s	1.1s	25.9%	2.7 MB	3.8 MB	12.4 MB	8.4 MB
7	80/4ebfbf	3620553	fastcat (3)	COMPLETED	0	2025-02-23 23:48:26.288	2.4s	1.5s	91.0%	91.4 MB	512.3 MB	71.6 MB	49.7 MB
26	d8/cb358e	3620598	fastcat (22)	COMPLETED	0	2025-02-23 23:48:26.495	2.2s	1.5s	19.0%	10.4 MB	352.7 MB	13.5 MB	9.1 MB
21	97/cbd465	3620563	fastcat (17)	COMPLETED	0	2025-02-23 23:48:26.333	3s	2.1s	3.3%	6.5 MB	223.8 MB	671.5 KB	374.4 KB
13	50/497a8b	3620649	fastcat (9)	COMPLETED	0	2025-02-23 23:48:26.542	2.8s	2.2s	35.5%	91 MB	511.4 MB	49.1 MB	32.9 MB
5	b4/820282	3620585	fastcat (1)	COMPLETED	0	2025-02-23 23:48:26.449	3.6s	2.8s	45.1%	91.1 MB	512.3 MB	71.6 MB	48.9 MB
14	3d/17a3e8	3620572	fastcat (10)	COMPLETED	0	2025-02-23 23:48:26.387	3.8s	3s	79.4%	91.3 MB	512.3 MB	126.3 MB	87.3 MB
12	e7/b8b052	3623672	fastcat (8)	COMPLETED	0	2025-02-23 23:48:29.456	1.3s	792ms	60.9%	2.7 MB	3.8 MB	24 MB	16.5 MB
18	ed/a1be7f	3623666	fastcat (14)	COMPLETED	0	2025-02-23 23:48:29.420	1.8s	1.2s	26.3%	3.4 MB	6.7 MB	15.9 MB	10.8 MB
24	ab/a032d4	3622768	fastcat (20)	COMPLETED	0	2025-02-23 23:48:28.759	2.9s	2.3s	102.5%	91.3 MB	512.3 MB	119.1 MB	83.4 MB
25	d6/6bcac5	3622615	fastcat (21)	COMPLETED	0	2025-02-23 23:48:28.377	3.3s	2.6s	27.8%	88.1 MB	511.4 MB	41.9 MB	28.2 MB
10	76/efbf87	3620699	fastcat (6)	COMPLETED	0	2025-02-23 23:48:26.588	5.2s	4.6s	54.0%	91.3 MB	512.3 MB	184.1 MB	122.7 MB
6	fe/f7ddd4	3622810	fastcat (2)	COMPLETED	0	2025-02-23 23:48:28.801	3.6s	3.1s	55.5%	91.1 MB	512.3 MB	114.4 MB	76.5 MB
9	75/080ab4	3625650	fastcat (5)	COMPLETED	0	2025-02-23 23:48:31.655	1.4s	881ms	9.0%	2.7 MB	3.8 MB	285.4 KB	109.1 KB
23	17/89fa7c	3624126	fastcat (19)	COMPLETED	0	2025-02-23 23:48:30.094	3.1s	2.5s	133.1%	91.1 MB	512.3 MB	217.6 MB	146.8 MB
8	3a/588eb2	3625721	fastcat (4)	COMPLETED	0	2025-02-23 23:48:31.725	2.9s	2.4s	83.6%	91.2 MB	512.3 MB	125.5 MB	84.6 MB
17	66/63f023	3624515	fastcat (13)	COMPLETED	0	2025-02-23 23:48:30.362	4.4s	3.8s	89.3%	91.1 MB	512.3 MB	199.4 MB	136.4 MB
20	4e/ff2d0c	3626919	fastcat (16)	COMPLETED	0	2025-02-23 23:48:33.085	1.8s	1.3s	6.2%	2.8 MB	3.8 MB	553 KB	294.8 KB
16	3f/19c89f	3626441	fastcat (12)	COMPLETED	0	2025-02-23 23:48:32.447	3.1s	2.6s	101.3%	91.2 MB	512.3 MB	175.3 MB	117.3 MB
15	88/b73d06	3624808	fastcat (11)	COMPLETED	0	2025-02-23 23:48:30.851	4.8s	4.2s	36.1%	91.3 MB	512.3 MB	106 MB	70.2 MB
22	b9/ee5edd	3625989	fastcat (18)	COMPLETED	0	2025-02-23 23:48:31.998	3.8s	3.2s	36.5%	91.3 MB	512.3 MB	69.1 MB	46.9 MB
27	0e/36b622	3627413	fastcat (23)	COMPLETED	0	2025-02-23 23:48:33.616	3.5s	2.7s	34.9%	91.1 MB	512.3 MB	45.1 MB	31.6 MB
28	89/529401	3625083	fastcat (24)	COMPLETED	0	2025-02-23 23:48:31.216	6.1s	5.6s	35.4%	91.1 MB	512.3 MB	141.9 MB	94.1 MB
19	b6/164512	3628287	fastcat (15)	COMPLETED	0	2025-02-23 23:48:34.681	3.2s	2.7s	69.6%	91.3 MB	512.3 MB	96.2 MB	67 MB
3	69/150524	3629451	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-02-23 23:48:37.530	407ms	22ms	50.3%	0	0	74.3 KB	3.3 KB
29	94/50610a	3630025	minimap_pipeline:output_results (1)	COMPLETED	0	2025-02-23 23:48:37.968	389ms	12ms	64.3%	0	0	71.2 KB	255 B
