"LibraryCode"	"LibraryBarcode"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"
"nwr1"	1	32154	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	2	32818	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	3	25177	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	4	20842	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	5	18360	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	6	7275	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	7	12317	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	8	8773	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	9	21552	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	10	2316	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	11	2716	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	12	12321	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	13	4142	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	14	2112	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	15	39481	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	16	11	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	17	35644	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	18	22155	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	19	17562	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	20	7774	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	21	20680	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	22	27	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	23	12606	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
"nwr1"	24	37	"AXA477"	"NWR-CM"	"NWR1"	2025-02-20	2025-02-20 23:32:40.268531
