tax	NTC1-CTRL	NWR-003-S1	NWR-032-S2	NWR-036-S3	NWR-089-S4	NWR-102-S5	NWR-103-S6	NWR-107-S7	NWR-108-S8	NWR-114-S9	NWR-115-S10	NWR-116-S11	NWR-117-S12	NWR-118-S13	NWR-119-S14	NWR-121-S23	NWR-122-S21	NWR-126-S17	NWR-127-S19	NWR-130-S18	NWR-151-S20	NWR-153-S22	NWR-154-S16	NWR-156-S15	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	1	0	0	0	2515	0	0	0	3	0	0	0	2	0	0	0	0	0	85	2	1	1	0	0	2610
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	0	0	1	2084	0	0	0	14	128	0	0	14	2	0	1	0	1	1	166	0	0	0	0	2412
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus termitis	0	0	0	0	0	0	0	125	3	81	71	0	6	25	277	1	5	1438	0	35	2	0	0	116	2185
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia entomophila	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2119	0	0	0	0	2127
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus lutrae	1	0	0	0	0	0	0	1871	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1873
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;Tissierella;Tissierella creatinophila	0	0	0	0	0	0	0	1855	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1858
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii	0	49	5	0	0	9	1	3	0	6	0	0	0	1	0	16	1	0	1	4	0	0	0	1726	1822
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	46	0	0	0	0	11	0	0	1424	0	10	52	0	2	0	0	0	0	0	0	1	0	248	1794
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia fonticola	1	0	1	0	0	0	1	2	0	0	0	0	0	24	0	0	0	0	0	1565	0	0	0	130	1724
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Vespertiliibacter;Vespertiliibacter pulmonis	0	16	0	0	12	0	0	6	0	4	0	1162	4	0	2	0	0	0	10	20	472	0	0	0	1708
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfosarcina;Desulfosarcina widdelii	1	0	0	0	1324	0	0	2	1	15	0	0	108	0	0	16	0	0	48	120	11	0	0	0	1646
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Luoshenia;Luoshenia tenuis	0	0	0	0	195	0	0	0	5	185	0	0	5	1	1	0	0	4	908	27	295	1	0	0	1627
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus mundtii	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1526	0	1	2	0	0	8	1540
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia bellii	0	0	0	7	87	0	12	1306	0	19	14	0	0	19	6	18	7	3	0	1	5	0	1	20	1525
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Pygmaiobacter;Pygmaiobacter massiliensis	0	0	0	0	0	0	0	4	10	1	0	0	11	44	2	0	0	47	707	0	680	0	0	0	1506
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Saezia;Saezia sanguinis	0	0	0	0	0	0	0	20	0	18	4	0	0	23	2	3	0	0	757	56	460	0	0	0	1343
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella victoriana	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1337	0	2	0	0	1341
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Angelakisella;Angelakisella massiliensis	0	0	0	0	581	0	0	15	15	1	0	0	0	0	1	1	0	1	432	168	101	0	0	0	1316
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera ascorbata	0	1171	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1173
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus haemoperoxidus	0	0	0	0	0	0	0	0	0	4	8	0	2	8	76	0	0	650	1	9	2	0	1	393	1154
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Fournierella;Fournierella massiliensis	2	0	0	0	886	0	0	4	35	0	0	0	3	25	0	5	0	0	77	1	55	0	0	0	1093
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	17	0	0	0	0	3	2	0	1000	0	1	2	0	0	0	0	0	0	0	10	0	0	45	1080
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;Keratinibaculum;Keratinibaculum paraultunense	0	0	0	0	0	0	0	1014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1015
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;Miniphocaeibacter;Miniphocaeibacter halophilus	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	996	0	1	1	0	0	0	1003
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Konateibacter;Konateibacter massiliensis	0	0	0	0	42	0	0	3	18	309	0	0	106	5	0	0	0	0	3	476	14	0	0	0	976
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Guopingia;Guopingia tenuis	0	0	0	0	10	0	0	3	2	0	0	0	2	0	7	0	0	0	682	3	260	0	0	0	969
