task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
34	5e/59e7aa	3038386	calling_pipeline:collect_results (1)	COMPLETED	0	2025-02-21 16:25:56.819	2.8s	2.3s	146.7%	81.9 MB	4.1 GB	12.4 MB	834.4 KB
37	d4/51e162	3039528	calling_pipeline:accumulateCheckpoints (6)	COMPLETED	0	2025-02-21 16:25:59.579	612ms	227ms	58.5%	2.7 MB	3.8 MB	1 MB	2 KB
38	3c/5ecb65	3039583	calling_pipeline:createRunModel	COMPLETED	0	2025-02-21 16:25:59.621	915ms	579ms	66.0%	4.4 MB	11.3 MB	2.9 MB	992.3 KB
33	cb/99ec04	3038412	calling_pipeline:makePerSampleReports (1)	COMPLETED	0	2025-02-21 16:25:56.864	15.1s	14.7s	106.5%	427.5 MB	4.4 GB	88.5 MB	2.3 MB
39	34/82c058	3040935	calling_pipeline:perSampleReportingCheckpoint (1)	COMPLETED	0	2025-02-21 16:26:11.998	366ms	35ms	42.6%	1 MB	3.8 MB	75.8 KB	447 B
40	0d/04e638	3041070	calling_pipeline:accumulateCheckpoints (7)	COMPLETED	0	2025-02-21 16:26:12.411	576ms	203ms	64.4%	7.9 MB	12.4 MB	1 MB	2.1 KB
35	8f/c941f6	3039252	calling_pipeline:makeReport	COMPLETED	0	2025-02-21 16:25:59.242	15.8s	15.3s	106.4%	417.3 MB	4.4 GB	91.9 MB	3.9 MB
44	7b/140bc0	3041306	output (4)	COMPLETED	0	2025-02-21 16:26:15.193	365ms	6ms	46.5%	0	0	72.5 KB	255 B
47	42/fc5e11	3041315	output (7)	COMPLETED	0	2025-02-21 16:26:15.212	349ms	6ms	46.0%	0	0	72.5 KB	255 B
45	08/f31942	3041333	output (5)	COMPLETED	0	2025-02-21 16:26:15.231	347ms	7ms	94.1%	0	0	72.5 KB	255 B
41	a3/da8edf	3041400	calling_pipeline:reportingCheckpoint	COMPLETED	0	2025-02-21 16:26:15.265	323ms	16ms	66.7%	0	0	75.9 KB	485 B
48	37/b088c2	3041359	output (8)	COMPLETED	0	2025-02-21 16:26:15.248	337ms	7ms	46.5%	0	0	72.5 KB	255 B
49	a9/b72e3f	3041615	output (9)	COMPLETED	0	2025-02-21 16:26:15.348	344ms	5ms	54.1%	0	0	72.5 KB	255 B
42	f6/aaf98c	3041575	output (2)	COMPLETED	0	2025-02-21 16:26:15.331	364ms	5ms	53.3%	0	0	72.5 KB	255 B
50	25/87ab85	3041653	output (10)	COMPLETED	0	2025-02-21 16:26:15.367	350ms	6ms	97.6%	0	0	72.5 KB	255 B
43	31/34b8ca	3041798	output (3)	COMPLETED	0	2025-02-21 16:26:15.420	343ms	8ms	46.5%	0	0	72.5 KB	255 B
51	f5/d41087	3041847	output (11)	COMPLETED	0	2025-02-21 16:26:15.432	342ms	6ms	0.0%	0	0	72.5 KB	253 B
46	c9/c8967d	3041689	output (6)	COMPLETED	0	2025-02-21 16:26:15.385	492ms	7ms	95.2%	0	0	72.5 KB	255 B
52	21/9c8e4a	3042622	calling_pipeline:accumulateCheckpoints (8)	COMPLETED	0	2025-02-21 16:26:15.618	641ms	273ms	52.4%	4.4 MB	11.4 MB	1 MB	2.2 KB
